time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
1500,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.7854011757232116e-05,0.800000036724013,120.00002354803401,0.0,1.7854011757232116e-05,630.0,0,0.0,900.0,0.0,0.0
1560,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.775467259956527e-05,0.8000000384102249,120.00002380096583,0.0,1.775467259956527e-05,630.0,0,0.0,900.0,0.0,0.0
1620,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.7518416691569156e-05,0.8000000400870548,120.00002405249036,0.0,1.7518416691569156e-05,630.0,0,0.0,900.0,0.0,0.0
1680,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.7459379888881305e-05,0.8000000417415717,120.00002430066793,0.0,1.7459379888881305e-05,630.0,0,0.0,900.0,0.0,0.0
1740,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.7189851439221988e-05,0.8000000433905129,120.00002454800915,0.0,1.7189851439221988e-05,630.0,0,0.0,900.0,0.0,0.0
1800,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.721989171261162e-05,0.8000000450139986,120.00002479153204,0.0,1.721989171261162e-05,630.0,0,0.0,900.0,0.0,0.0
1860,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.686333631388941e-05,0.8000000466403214,120.0000250354805,0.0,1.686333631388941e-05,630.0,0,0.0,900.0,0.0,0.0
1920,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.703582403493387e-05,0.8000000482329696,120.00002527437776,0.0,1.703582403493387e-05,630.0,0,0.0,900.0,0.0,0.0
1980,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.0811553333695482e-05,0.8000000498419083,120.0000255157186,0.0,1.0811553333695482e-05,630.0,0,0.0,900.0,0.0,0.0
2040,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.3794068658010437e-05,0.8000000508629993,120.00002566888227,0.0,1.3794068658010437e-05,630.0,0,0.0,900.0,0.0,0.0
2100,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.523702104388291e-05,0.8000000521657723,120.00002586429825,0.0,1.523702104388291e-05,630.0,0,0.0,900.0,0.0,0.0
2160,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.5072730868471911e-05,0.8000000536048241,120.00002608015605,0.0,1.5072730868471911e-05,630.0,0,0.0,900.0,0.0,0.0
2220,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,9.24805502779565e-06,0.8000000550283595,120.0000262936864,0.0,9.24805502779565e-06,630.0,0,0.0,900.0,0.0,0.0
2280,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2878844228740361e-05,0.8000000559017868,120.00002642470052,0.0,1.2878844228740361e-05,630.0,0,0.0,900.0,0.0,0.0
2340,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,7.919669482553726e-06,0.8000000571181219,120.00002660715082,0.0,7.919669482553726e-06,630.0,0,0.0,900.0,0.0,0.0
2400,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2595531870238941e-05,0.8000000578660906,120.00002671934614,0.0,1.2595531870238941e-05,630.0,0,0.0,900.0,0.0,0.0
2460,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.4422015459119745e-05,0.8000000590556685,120.00002689778285,0.0,1.4422015459119745e-05,630.0,0,0.0,900.0,0.0,0.0
2520,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,8.411602337747525e-06,0.8000000604177476,120.00002710209473,0.0,8.411602337747525e-06,630.0,0,0.0,900.0,0.0,0.0
2580,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.2218849176230768e-05,0.8000000612121766,120.0000272212591,0.0,1.2218849176230768e-05,630.0,0,0.0,900.0,0.0,0.0
2640,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,1.3777466014427958e-05,0.8000000623661788,120.00002739435946,0.0,1.3777466014427958e-05,630.0,0,0.0,900.0,0.0,0.0
2700,519,[],"[0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan]",0,[],[],0,7.996778737691452e-06,0.8000000636673837,120.00002758954024,0.0,7.996778737691452e-06,630.0,0,0.0,900.0,0.0,0.0
