,time,Power_original,Power_noise,PredictionGridUpper,PredictionGridLower
0,18163,0.0,64.6911691449175,8137.499999999999,-8137.499999999999
1,18463,0.0,97.8162100545347,8137.499999999999,-8137.499999999999
2,18763,0.0,0.0,8137.499999999999,-8137.499999999999
3,19063,250.0,239.82351223416066,8137.499999999999,-8137.499999999999
4,19363,512.0,344.1341432917166,8137.499999999999,-8137.499999999999
5,19663,250.0,315.32438774773715,8137.499999999999,-8137.499999999999
6,19963,109.0,121.31835690860946,8137.499999999999,-8137.499999999999
7,20263,206.99999999999994,87.02406809570972,8137.499999999999,-8137.499999999999
8,20563,217.0,205.37985068542116,8137.499999999999,-8137.499999999999
9,20863,280.0,428.6512696486515,8137.499999999999,-8137.499999999999
10,21163,572.0,786.7781001183808,8137.499999999999,-8137.499999999999
11,21463,891.0,1035.4343485059046,8137.499999999999,-8137.499999999999
12,21763,912.0,918.9803764419695,8137.499999999999,-8137.499999999999
13,22063,1223.0,1165.534367243258,8137.499999999999,-8137.499999999999
14,22363,2374.5,2079.772486175003,8137.499999999999,-8137.499999999999
15,22663,3224.5,3293.6408794645813,8137.499999999999,-8137.499999999999
16,22963,2859.5,2924.77112822947,8137.499999999999,-8137.499999999999
17,23263,2973.5,2918.2322122208247,8137.499999999999,-8137.499999999999
18,23563,3212.5000000000005,3308.2957984896425,8137.499999999999,-8137.499999999999
19,23863,2284.0,2267.026553998087,8137.499999999999,-8137.499999999999
20,24163,979.4999999999999,958.9579396175925,8137.499999999999,-8137.499999999999
21,24463,1530.5,1501.7626057498628,8137.499999999999,-8137.499999999999
22,24763,642.5,607.4680138559337,8137.499999999999,-8137.499999999999
23,25063,871.0,833.6074254108895,8137.499999999999,-8137.499999999999
24,25363,756.1666666666667,554.2762606741522,8137.499999999999,-8137.499999999999
25,25663,1215.5000000000002,1350.9263007072188,8137.499999999999,-8137.499999999999
26,25963,334.5,470.98771366551125,8137.499999999999,-8137.499999999999
27,26263,500.0,550.9677315604445,8137.499999999999,-8137.499999999999
28,26563,532.1666666666667,510.68019824249996,8137.499999999999,-8137.499999999999
29,26863,147.0,182.36125272666436,8137.499999999999,-8137.499999999999
30,27163,650.0,665.3589428636229,8137.499999999999,-8137.499999999999
31,27463,941.6666666666665,900.1980451982125,8137.499999999999,-8137.499999999999
32,27763,1146.3333333333335,1158.8600440242615,8137.499999999999,-8137.499999999999
33,28063,1535.8333333333335,1660.6917140426572,8137.499999999999,-8137.499999999999
34,28363,1172.1666666666667,1265.7075415183444,8137.499999999999,-8137.499999999999
35,28663,1173.3333333333335,1099.3332559696894,8137.499999999999,-8137.499999999999
36,28963,442.83333333333337,353.0769839456512,8137.499999999999,-8137.499999999999
37,29263,153.33333333333334,320.80258478679355,8137.499999999999,-8137.499999999999
38,29563,339.49999999999994,403.31528142213324,8137.499999999999,-8137.499999999999
39,29863,175.83333333333334,377.17104521615505,8137.499999999999,-8137.499999999999
40,30163,0.0,41.862448423008104,8137.499999999999,-8137.499999999999
41,30463,0.0,0.0,8137.499999999999,-8137.499999999999
42,30763,0.0,93.89234048908682,8137.499999999999,-8137.499999999999
