,time,Power_original,Power_noise,PredictionGridUpper,PredictionGridLower
0,18163,0.0,232.11853311234444,18200.0,-18200.0
1,18223,0.0,379.60862361567905,18200.0,-18200.0
2,18283,0.0,0.0,18200.0,-18200.0
3,18343,0.0,92.66505872083242,18200.0,-18200.0
4,18403,0.0,177.77117471589025,18200.0,-18200.0
5,18463,0.0,0.0,18200.0,-18200.0
6,18523,0.0,5.363413380710453,18200.0,-18200.0
7,18583,0.0,0.0,18200.0,-18200.0
8,18643,250.0,282.19187880122814,18200.0,-18200.0
9,18703,250.0,540.5817515461749,18200.0,-18200.0
10,18763,250.0,650.9680151008507,18200.0,-18200.0
11,18823,122.50000000000028,65.32007567640038,18200.0,-18200.0
12,18883,0.0,0.0,18200.0,-18200.0
13,18943,0.0,0.0,18200.0,-18200.0
14,19003,0.0,0.0,18200.0,-18200.0
15,19063,0.0,38.000309629607436,18200.0,-18200.0
16,19123,250.0,0.0,18200.0,-18200.0
17,19183,550.0,454.67446612821493,18200.0,-18200.0
18,19243,650.0,406.2679580321527,18200.0,-18200.0
19,19303,237.50000000000057,233.20891451216522,18200.0,-18200.0
20,19363,800.0,1150.2806693626164,18200.0,-18200.0
21,19423,1050.0,733.6578992320971,18200.0,-18200.0
22,19483,1300.0,1158.772177922384,18200.0,-18200.0
23,19543,1450.0,1304.4352466188093,18200.0,-18200.0
24,19603,1352.5000000000002,1373.9463933725258,18200.0,-18200.0
25,19663,902.5000000000006,801.3603740672465,18200.0,-18200.0
26,19723,1119.9999999999998,1494.5255842102324,18200.0,-18200.0
27,19783,1007.5000000000006,1139.3810662600017,18200.0,-18200.0
28,19843,1200.0,1355.0981518607819,18200.0,-18200.0
29,19903,1037.4999999999998,854.8621825087391,18200.0,-18200.0
30,19963,1200.0,1240.449707190006,18200.0,-18200.0
31,20023,1085.000000000001,608.1146686263505,18200.0,-18200.0
32,20083,1350.0,1129.8687069661732,18200.0,-18200.0
33,20143,1322.5,1310.7139583108044,18200.0,-18200.0
34,20203,1232.5000000000005,1096.4369123135887,18200.0,-18200.0
35,20263,1500.0,1943.4221065177035,18200.0,-18200.0
36,20323,1545.0,1858.323993550995,18200.0,-18200.0
37,20383,1845.0,1875.677740340985,18200.0,-18200.0
38,20443,1702.5000000000018,1520.0072655964518,18200.0,-18200.0
39,20503,1757.5000000000011,1788.663388846859,18200.0,-18200.0
40,20563,1567.5,1858.9212949925213,18200.0,-18200.0
41,20623,850.0000000000011,1007.9928630893448,18200.0,-18200.0
42,20683,1482.5,1774.3482945472904,18200.0,-18200.0
43,20743,1609.999999999999,1345.6987133491095,18200.0,-18200.0
44,20803,967.5000000000001,1075.1397270785346,18200.0,-18200.0
45,20863,1150.0,1269.1602222894987,18200.0,-18200.0
46,20923,1315.0,1496.3400656097874,18200.0,-18200.0
47,20983,1320.0,1098.1829527092684,18200.0,-18200.0
48,21043,1660.0000000000002,1411.0700967310122,18200.0,-18200.0
49,21103,1750.0,1628.0651154628183,18200.0,-18200.0
50,21163,1862.5,1807.329679470292,18200.0,-18200.0
51,21223,2295.0,2348.4891343784875,18200.0,-18200.0
52,21283,3040.0000000000014,2786.1143557101345,18200.0,-18200.0
53,21343,2975.000000000002,2772.3463011490417,18200.0,-18200.0
54,21403,3112.5,2955.2609020873683,18200.0,-18200.0
55,21463,3070.0,2787.2580989900102,18200.0,-18200.0
56,21523,3040.000000000001,3131.223401427306,18200.0,-18200.0
57,21583,2650.0,2701.1703616699538,18200.0,-18200.0
58,21643,3770.000000000001,3577.0633841420295,18200.0,-18200.0
59,21703,3540.0,3466.424682804826,18200.0,-18200.0
60,21763,3732.5,3863.5968923640353,18200.0,-18200.0
61,21823,3907.5000000000014,3644.3035996141043,18200.0,-18200.0
62,21883,4390.0,4615.7348422935565,18200.0,-18200.0
63,21943,4117.500000000002,4381.228844865654,18200.0,-18200.0
64,22003,4850.000000000001,4777.905217639562,18200.0,-18200.0
65,22063,5710.000000000001,5992.246033276263,18200.0,-18200.0
66,22123,5430.000000000001,5651.876868808785,18200.0,-18200.0
67,22183,5532.500000000003,5469.09307959017,18200.0,-18200.0
68,22243,5655.0,5627.067444415401,18200.0,-18200.0
69,22303,6335.0,6325.320783547235,18200.0,-18200.0
70,22363,5712.5,6066.453228315632,18200.0,-18200.0
71,22423,5437.5,5816.226866040974,18200.0,-18200.0
72,22483,6462.500000000002,6687.806332605687,18200.0,-18200.0
73,22543,5345.000000000002,5546.214527382889,18200.0,-18200.0
74,22603,6010.000000000002,5840.02836824524,18200.0,-18200.0
75,22663,6750.000000000002,6978.0820855373195,18200.0,-18200.0
76,22723,7170.000000000001,7548.555955751926,18200.0,-18200.0
77,22783,7327.5,7573.074482122305,18200.0,-18200.0
78,22843,7315.000000000002,7398.408151821636,18200.0,-18200.0
79,22903,7260.000000000001,7406.886530712619,18200.0,-18200.0
80,22963,7145.000000000001,7327.995166432824,18200.0,-18200.0
81,23023,8267.5,7846.864566566566,18200.0,-18200.0
82,23083,7727.500000000002,7812.651643822173,18200.0,-18200.0
83,23143,7102.500000000003,7166.162523221311,18200.0,-18200.0
84,23203,6180.000000000002,6342.825323055093,18200.0,-18200.0
85,23263,6055.000000000003,5926.235432441774,18200.0,-18200.0
86,23323,5717.5,5781.098800296067,18200.0,-18200.0
87,23383,4777.500000000002,4469.189058974908,18200.0,-18200.0
88,23443,4132.500000000001,4232.444404993153,18200.0,-18200.0
89,23503,4412.5,4645.8428984349375,18200.0,-18200.0
90,23563,4860.0,4973.650116532655,18200.0,-18200.0
