,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c"
0,60.0,60,36.28266376147118,36.28266376147118,2.4745688463836664,0.0,36.28266485916521,1.0976940239115812e-06,338.1194565662999
1,120.0,120,36.28266394050389,36.28266394050389,2.9885732469270496,0.0,36.28266503747347,1.0969695812705077e-06,0.4602739726027397
2,180.0,180,36.28266407885984,36.282664078859845,3.5025776500085852,0.0,36.282665175316446,1.0964566033062151e-06,0.04323985936321764
3,240.0,240,36.28266419174485,36.28266419174485,4.016582055051409,0.0,36.282665287830945,1.0960860925004194e-06,0.023148148148148147
4,300.0,300,36.28266428766272,36.28266428766272,4.530586461694376,0.0,36.2826653834796,1.0958168808538691e-06,0.009341992564003648
5,360.0,360,36.28266437154186,36.28266437154187,5.044590869696851,0.0,36.28266546716498,1.0956231163325974e-06,0.12
6,420.0,420,36.28266444636143,36.28266444636143,5.558595278888102,0.0,36.28266554184915,1.0954877112846195e-06,0.0
7,480.0,480,36.28266451400888,36.28266451400888,6.0725996891396345,0.0,36.282665609407694,1.0953988165703825e-06,0.0
8,540.0,540,36.28266457574164,36.28266457574164,6.58660410034972,0.0,36.282665671089504,1.09534785763818e-06,0.0
9,600.0,600,36.2826646324415,36.2826646324415,7.1006085124345,0.0,36.2826657277699,1.0953283989286298e-06,0.0
10,660.0,660,36.28266468475812,36.28266468475812,7.614612925322564,0.0,36.28266578009358,1.095335461412859e-06,0.0
11,720.0,720,36.28266473319212,36.28266473319212,8.128617338951774,0.0,36.28266582855722,1.0953650962924218e-06,0.0
12,780.0,780,36.28266477814452,36.28266477814452,8.642621753267056,0.0,36.282665873558635,1.0954141084550567e-06,0.0
13,840.0,840,36.282664819946824,36.282664819946824,9.156626168219024,0.0,36.2826659154267,1.0954798704890006e-06,0.0
14,900.0,900,36.28266485888001,36.28266485888001,9.670630583763053,0.0,36.28266595444021,1.0955601933220803e-06,0.0
15,960.0,960,36.28266489518687,36.282664895186876,10.184634999858421,0.0,36.28266599084011,1.095653233446221e-06,0.0
16,1020.0,1020,36.28266492908025,36.282664929080255,10.698639416467916,0.0,36.28266602483768,1.095757424536949e-06,0.0
17,1080.0,1080,36.28266496074882,36.282664960748825,11.212643833557285,0.0,36.28266605662024,1.095871425831956e-06,0.0
18,1140.0,1140,36.282664990361205,36.28266499036121,11.726648251095032,0.0,36.28266608635529,1.095994082344732e-06,0.0
19,1200.0,1200,36.282665018069096,36.2826650180691,12.240652669051965,0.0,36.282666114193496,1.0961243936514525e-06,0.0
20,1260.0,1260,36.28266504400963,36.28266504400963,12.754657087401107,0.0,36.282666140271125,1.0962614890295015e-06,0.0
21,1320.0,1320,36.28266506830727,36.282665068307274,13.26866150611741,0.0,36.28266616471188,1.096404607398252e-06,0.0
22,1380.0,1380,36.28266509107535,36.28266509107536,13.782665925177557,0.0,36.28266618762844,1.096553080954092e-06,0.0
23,1440.0,1440,36.282665112417384,36.282665112417384,14.296670344559887,0.0,36.28266620912371,1.0967063216937024e-06,0.0
24,1500.0,1500,36.28266513242808,36.282665132428086,14.810674764244181,0.0,36.2826662292919,1.0968638102227716e-06,0.0
25,1560.0,1560,36.28266515119432,36.28266515119433,15.32467918421157,0.0,36.282666248219414,1.0970250863967888e-06,0.0
26,1620.0,1620,36.28266516879595,36.28266516879596,15.838683604444409,0.0,36.282666265985696,1.0971897414455457e-06,0.0
27,1680.0,1680,36.282665185306456,36.282665185306456,16.35268802492619,0.0,36.282666282663875,1.0973574113067386e-06,0.0
28,1740.0,1740,36.2826652007936,36.2826652007936,16.866692445641462,0.0,36.282666298321374,1.097527770956795e-06,0.0
29,1800.0,1800,36.282665215319945,36.282665215319945,17.380696866575708,0.0,36.28266631302048,1.0977005295667288e-06,0.0
30,1860.0,1860,36.28266522894335,36.28266522894335,17.894701287715293,0.0,36.28266632681878,1.09787542634634e-06,0.0
31,1920.0,1920,36.282665241717396,36.2826652417174,18.408705709047457,0.0,36.28266633976963,1.0980522269649152e-06,0.0
32,1980.0,1980,36.28266525369177,36.28266525369177,18.92271013056014,0.0,36.282666351922494,1.0982307204586797e-06,0.0
33,2040.0,2040,36.28266526491259,36.282665264912595,19.436714552242023,0.0,36.282666363323315,1.0984107165482957e-06,0.0
34,2100.0,2100,36.282665275422744,36.282665275422744,19.9507189740824,0.0,36.282666374014795,1.0985920433076983e-06,0.0
35,2160.0,2160,36.282665285262134,36.282665285262134,20.46472339607122,0.0,36.28266638403668,1.098774545128549e-06,0.0
36,2220.0,2220,36.28266529446795,36.282665294467954,20.978727818198987,0.0,36.282666393426034,1.098958080942613e-06,0.0
37,2280.0,2280,36.282665303074886,36.282665303074886,21.492732240456704,0.0,36.282666402217416,1.0991425226617113e-06,0.0
38,2340.0,2340,36.28266531111534,36.282665311115345,22.006736662835902,0.0,36.2826664104431,1.099327753807074e-06,0.0
39,2400.0,2400,36.2826653186196,36.28266531861961,22.52074108532853,0.0,36.282666418133275,1.099513668302355e-06,0.0
40,2460.0,2460,36.282665325616016,36.282665325616016,23.03474550792701,0.0,36.282666425316194,1.0997001694075278e-06,0.0
41,2520.0,2520,36.28266533213114,36.282665332131145,23.54874993062414,0.0,36.28266643201832,1.0998871687764894e-06,0.0
42,2580.0,2580,36.28266533818988,36.28266533818989,24.062754353413105,0.0,36.28266643826447,1.1000745856213318e-06,0.0
43,2640.0,2640,36.28266534381561,36.282665343815616,24.576758776287424,0.0,36.28266644407796,1.1002623459702427e-06,0.0
44,2700.0,2700,36.282665349030296,36.282665349030296,25.090763199240975,0.0,36.28266644948068,1.1004503820073938e-06,0.0
45,2760.0,2760,36.282665353854576,36.28266535385458,25.60476762226794,0.0,36.28266645449321,1.1006386314848613e-06,0.0
46,2820.0,2820,36.2826653583079,36.28266535830791,26.11877204536278,0.0,36.282666459134944,1.1008270371968151e-06,0.0
47,2880.0,2880,36.28266536240858,36.28266536240858,26.632776468520227,0.0,36.28266646342413,1.1010155465108314e-06,0.0
48,2940.0,2940,36.282665366173866,36.282665366173866,27.14678089173529,0.0,36.28266646737798,1.1012041109466292e-06,0.0
49,3000.0,3000,36.28266536962005,36.282665369620055,27.660785315003245,0.0,36.28266647101274,1.1013926857997278e-06,0.0
50,3060.0,3060,36.28266537276251,36.28266537276251,28.17478973831955,0.0,36.28266647434374,1.1015812298020224e-06,0.0
51,3120.0,3120,36.282665375615764,36.28266537561577,28.68879416167988,0.0,36.282666477385476,1.1017697048178524e-06,0.0
52,3180.0,3180,36.28266537819358,36.28266537819358,29.202798585080178,0.0,36.282666480151654,1.1019580755691406e-06,0.0
53,3240.0,3240,36.282665380508924,36.282665380508924,29.716803008516514,0.0,36.28266648265524,1.102146309388708e-06,0.0
54,3300.0,3300,36.28266538257413,36.28266538257414,30.230807431985184,0.0,36.28266648490852,1.1023343759966224e-06,0.0
55,3360.0,3360,36.282665384400865,36.282665384400865,30.744811855482652,0.0,36.28266648692311,1.102522247298376e-06,0.0
56,3420.0,3420,36.282665386000176,36.282665386000176,31.258816279005508,0.0,36.28266648871008,1.1027098972021527e-06,0.0
57,3480.0,3480,36.28266538738255,36.28266538738256,31.77282070255057,0.0,36.28266649027986,1.102897301454092e-06,0.0
58,3540.0,3540,36.28266538855797,36.28266538855797,32.286825126114735,0.0,36.282666491642416,1.1030844374870652e-06,0.0
59,3600.0,3600,36.28266538953588,36.282665389535886,32.800829549695095,0.0,36.282666492807174,1.103271284285352e-06,0.0
60,3660.0,3660,36.28266539032528,36.28266539032528,33.31483397328884,0.0,36.282666493783104,1.1034578222603203e-06,0.0
61,3720.0,3720,36.282665390934696,36.2826653909347,33.82883839689331,0.0,36.282666494578734,1.1036440331380101e-06,0.0
62,3780.0,3780,36.282665391372284,36.28266539137229,34.342842820505936,0.0,36.282666495202186,1.1038298998561416e-06,0.0
63,3840.0,3840,36.28266539164577,36.28266539164577,34.8568472441243,0.0,36.28266649566118,1.1040154064709312e-06,0.0
64,3900.0,3900,36.28266539176252,36.28266539176253,35.370851667746074,0.0,36.28266649596307,1.1042005380714695e-06,0.0
65,3960.0,3960,36.28266539172957,36.28266539172957,35.88485609136905,0.0,36.28266649611486,1.1043852807015905e-06,0.0
66,4020.0,4020,36.28266539155359,36.2826653915536,36.398860514991085,0.0,36.28266649612322,1.1045696212892003e-06,0.0
67,4080.0,4080,36.28266539124098,36.28266539124098,36.91286493861018,0.0,36.28266649599453,1.1047535475800826e-06,0.0
68,4140.0,4140,36.28266539079782,36.28266539079782,37.42686936222436,0.0,36.282666495734865,1.1049370480788418e-06,0.0
69,4200.0,4200,36.2826653902299,36.28266539022991,37.94087378583183,0.0,36.28266649535002,1.105120111993642e-06,0.0
70,4260.0,4260,36.28266538954279,36.28266538954279,38.45487820943079,0.0,36.28266649484552,1.1053027291861665e-06,0.0
71,4320.0,4320,36.28266538874177,36.282665388741776,38.968882633019554,0.0,36.28266649422667,1.1054848901252286e-06,0.0
72,4380.0,4380,36.282665387831905,36.282665387831905,39.48288705659651,0.0,36.282666493498496,1.1056665858443837e-06,0.0
73,4440.0,4440,36.282665386818024,36.282665386818024,39.99689148016013,0.0,36.28266649266583,1.1058478079026936e-06,0.0
74,4500.0,4500,36.282665385704746,36.282665385704746,40.51089590370894,0.0,36.2826664917333,1.1060285483488068e-06,0.0
75,4560.0,4560,36.2826653844965,36.282665384496504,41.02490032724153,0.0,36.2826664907053,1.106208799687818e-06,0.0
76,4620.0,4620,36.282665383197504,36.28266538319751,41.538904750756544,0.0,36.28266648958606,1.1063885548503684e-06,0.0
77,4680.0,4680,36.28266538181182,36.28266538181182,42.05290917425271,0.0,36.282666488379625,1.1065678071642527e-06,0.0
78,4740.0,4740,36.282665380343296,36.282665380343296,42.56691359772879,0.0,36.28266648708985,1.1067465503288252e-06,0.0
