,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost"
0,60.0,60,19.326217392253113,19.326217392253113,2.820240247711558,0.0,19.32621740642872,1.4175606015518826e-08,67.70833323037624
1,120.0,120,18.653690222192896,18.653690222192896,3.09402832739971,0.0,18.653690236369155,1.4176257152412266e-08,0.1643835616438356
2,180.0,180,18.066587147781554,18.066587147781554,3.358288938845339,0.0,18.066587161958648,1.4177093845406982e-08,0.04323985936321764
3,240.0,240,17.547864563013032,17.547864563013032,3.6142322567368064,0.0,17.547864577191127,1.4178095638337825e-08,0.023148148148148147
4,300.0,300,17.084910273015815,17.084910273015815,3.8628270046773836,0.0,17.084910287195058,1.4179240952715054e-08,0.009341992564003648
5,360.0,360,16.668164627734118,16.668164627734118,4.104863233509665,0.0,16.66816464191463,1.4180509186404468e-08,0.12
6,420.0,420,16.29023114370379,16.29023114370379,4.34099556570045,0.0,16.29023115788567,1.418188161994168e-08,0.0
7,480.0,480,15.945284127987819,15.945284127987819,4.5717738402008035,0.0,15.945284142171161,1.4183341702248818e-08,0.0
8,540.0,540,15.628663093006484,15.628663093006484,4.797665365311843,0.0,15.62866310719136,1.4184875027682665e-08,0.0
9,600.0,600,15.33658827976941,15.33658827976941,5.019071425760644,0.0,15.336588293955877,1.4186469171822335e-08,0.0
10,660.0,660,15.06595681387644,15.06595681387644,5.2363397596885815,0.0,15.065956828064554,1.4188113473870229e-08,0.0
11,720.0,720,14.81419382283361,14.81419382283361,5.449774147849698,0.0,14.81419383702341,1.418979881040012e-08,0.0
12,780.0,780,14.579141814151777,14.579141814151777,5.659641893637704,0.0,14.579141828343296,1.419151738175278e-08,0.0
13,840.0,840,14.358977199855353,14.358977199855353,5.86617973596938,0.0,14.358977214048615,1.4193262520047527e-08,0.0
14,900.0,900,14.152146417231384,14.152146417231384,6.069598579598519,0.0,14.152146431426411,1.4195028521336515e-08,0.0
15,960.0,960,13.957316419859524,13.957316419859525,6.270087320473813,0.0,13.957316434056334,1.4196810501212922e-08,0.0
16,1020.0,1020,13.773335859175623,13.773335859175624,6.467815969719668,0.0,13.773335873374227,1.4198604271839802e-08,0.0
17,1080.0,1080,13.59920432452864,13.59920432452864,6.662938227689163,0.0,13.599204338729047,1.4200406237800364e-08,0.0
18,1140.0,1140,13.434047731494488,13.434047731494488,6.855593622251155,0.0,13.434047745696702,1.4202213308157624e-08,0.0
19,1200.0,1200,13.277098453480313,13.277098453480313,7.045909298411826,0.0,13.277098467684336,1.4204022822298027e-08,0.0
20,1260.0,1260,13.127679150399906,13.127679150399906,7.23400152646729,0.0,13.12767916460574,1.4205832487393691e-08,0.0
21,1320.0,1320,12.98518950633388,12.98518950633388,7.419976981062446,0.0,12.985189520541521,1.4207640325633849e-08,0.0
22,1380.0,1380,12.84909527625485,12.84909527625485,7.603933832366661,0.0,12.849095290464295,1.4209444629626363e-08,0.0
23,1440.0,1440,12.718919180568456,12.718919180568456,7.785962682078085,0.0,12.7189191947797,1.4211243924639886e-08,0.0
24,1500.0,1500,12.594233289585654,12.594233289585654,7.966147370433947,0.0,12.59423330379869,1.4213036936579662e-08,0.0
25,1560.0,1560,12.47465261783328,12.47465261783328,8.144565675334215,0.0,12.474652632048103,1.4214822564751483e-08,0.0
26,1620.0,1620,12.35982970729219,12.359829707292192,8.321289920717986,0.0,12.359829721508792,1.4216599858643678e-08,0.0
27,1680.0,1680,12.249450023946135,12.249450023946135,8.496387508202423,0.0,12.249450038164502,1.4218367998113082e-08,0.0
28,1740.0,1740,12.143228027103982,12.143228027103982,8.669921383506116,0.0,12.14322804132411,1.422012627639038e-08,0.0
29,1800.0,1800,12.04090379830268,12.040903798302681,8.841950447187877,0.0,12.040903812524554,1.4221874085505467e-08,0.0
30,1860.0,1860,11.942240137972119,11.942240137972119,9.01252991762828,0.0,11.94224015219573,1.422361090373437e-08,0.0
31,1920.0,1920,11.847020055065572,11.847020055065572,9.181711652880663,0.0,11.84702006929091,1.4225336284780584e-08,0.0
32,1980.0,1980,11.755044588299768,11.755044588299768,9.349544436958531,0.0,11.755044602526818,1.4227049848401128e-08,0.0
33,2040.0,2040,11.666130908436992,11.666130908436992,9.516074235257214,0.0,11.666130922665744,1.4228751272306066e-08,0.0
34,2100.0,2100,11.580110659758379,11.580110659758379,9.681344423091172,0.0,11.580110673988818,1.4230440285098631e-08,0.0
35,2160.0,2160,11.49682850587888,11.49682850587888,9.84539599073551,0.0,11.496828520110997,1.4232116660145072e-08,0.0
36,2220.0,2220,11.416140850813616,11.416140850813616,10.00826772786655,0.0,11.416140865047394,1.4233780210216124e-08,0.0
37,2280.0,2280,11.337914710838863,11.337914710838863,10.169996389884162,0.0,11.337914725074294,1.4235430782808033e-08,0.0
38,2340.0,2340,11.26202671658408,11.26202671658408,10.330616848252127,0.0,11.262026730821146,1.4237068256046487e-08,0.0
39,2400.0,2400,11.18836222793314,11.18836222793314,10.49016222670148,0.0,11.188362242171836,1.4238692535083707e-08,0.0
40,2460.0,2460,11.116814546952867,11.116814546952867,10.648664024894941,0.0,11.116814561193168,1.4240303548939201e-08,0.0
41,2520.0,2520,11.047284216277333,11.047284216277333,10.806152230941176,0.0,11.047284230519235,1.424190124771479e-08,0.0
42,2580.0,2580,10.979678392145704,10.979678392145704,10.962655423969503,0.0,10.97967840638919,1.4243485600132622e-08,0.0
