,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,c"
0,60.0,60,37.21346665486406,37.21346665486406,-1.430531944322158e-14,0.0,37.213466699411185,4.4547127124134226e-08,412.49843006361084
1,120.0,120,37.213466654863794,37.213466654863794,0.5271907774991857,0.0,37.21346669941089,4.454709985015889e-08,0.26301369863013696
2,180.0,180,37.213466654863275,37.213466654863275,1.0543815549983824,0.0,37.21346669941031,4.45470453023368e-08,0.03397260273972603
3,240.0,240,37.21346665486248,37.21346665486248,1.5815723324975717,0.0,37.213466699409445,4.454696348089666e-08,0.023148148148148147
4,300.0,300,37.213466654861435,37.213466654861435,2.10876310999675,0.0,37.213466699408286,4.454685438620602e-08,0.12
5,360.0,360,37.21346665486012,37.21346665486012,2.635953887495914,0.0,37.21346669940684,4.454671801874327e-08,0.0
6,420.0,420,37.21346665485854,37.21346665485854,3.163144664995059,0.0,37.213466699405096,4.4546554379110254e-08,0.0
7,480.0,480,37.21346665485671,37.21346665485671,3.6903354424941823,0.0,37.213466699403064,4.4546363468029e-08,0.0
8,540.0,540,37.21346665485461,37.21346665485461,4.217526219993281,0.0,37.213466699400755,4.4546145286337526e-08,0.0
9,600.0,600,37.21346665485225,37.21346665485225,4.7447169974923495,0.0,37.21346669939814,4.454589983500102e-08,0.0
10,660.0,660,37.21346665484962,37.21346665484962,5.271907774991385,0.0,37.21346669939524,4.454562711509926e-08,0.0
11,720.0,720,37.21346665484673,37.21346665484673,5.799098552490384,0.0,37.21346669939206,4.454532712783547e-08,0.0
12,780.0,780,37.21346665484358,37.21346665484358,6.3262893299893435,0.0,37.213466699388576,4.454499987452466e-08,0.0
13,840.0,840,37.21346665484016,37.21346665484016,6.8534801074882585,0.0,37.21346669938481,4.4544645356617886e-08,0.0
14,900.0,900,37.21346665483648,37.21346665483648,7.380670884987127,0.0,37.213466699380746,4.454426357567285e-08,0.0
15,960.0,960,37.213466654832544,37.213466654832544,7.907861662485944,0.0,37.213466699376404,4.454385453336979e-08,0.0
16,1020.0,1020,37.21346665482834,37.21346665482834,8.435052439984705,0.0,37.21346669937176,4.4543418231508635e-08,0.0
17,1080.0,1080,37.213466654823876,37.213466654823876,8.96224321748341,0.0,37.213466699366826,4.454295467201884e-08,0.0
18,1140.0,1140,37.213466654819136,37.213466654819136,9.48943399498205,0.0,37.213466699361604,4.4542463856936034e-08,0.0
19,1200.0,1200,37.21346665481415,37.21346665481415,10.016624772480625,0.0,37.2134666993561,4.454194578842306e-08,0.0
20,1260.0,1260,37.21346665480889,37.21346665480889,10.543815549979135,0.0,37.21346669935029,4.4541400468759174e-08,0.0
21,1320.0,1320,37.21346665480337,37.21346665480337,11.071006327477566,0.0,37.213466699344195,4.454082790035223e-08,0.0
22,1380.0,1380,37.213466654797585,37.213466654797585,11.598197104975924,0.0,37.21346669933781,4.454022808571441e-08,0.0
23,1440.0,1440,37.21346665479154,37.21346665479154,12.125387882474199,0.0,37.213466699331136,4.4539601027491125e-08,0.0
24,1500.0,1500,37.21346665478522,37.21346665478522,12.65257865997239,0.0,37.213466699324165,4.4538946728439125e-08,0.0
25,1560.0,1560,37.21346665477864,37.21346665477864,13.179769437470496,0.0,37.21346669931691,4.4538265191444646e-08,0.0
26,1620.0,1620,37.2134666547718,37.2134666547718,13.706960214968507,0.0,37.21346669930936,4.453755641950481e-08,0.0
27,1680.0,1680,37.21346665476469,37.21346665476469,14.234150992466423,0.0,37.21346669930151,4.45368204157313e-08,0.0
28,1740.0,1740,37.21346665475732,37.21346665475732,14.761341769964242,0.0,37.21346669929338,4.453605718337185e-08,0.0
29,1800.0,1800,37.21346665474969,37.21346665474969,15.288532547461957,0.0,37.21346669928496,4.4535266725778527e-08,0.0
30,1860.0,1860,37.21346665474179,37.21346665474179,15.815723324959565,0.0,37.21346669927623,4.4534449046433355e-08,0.0
31,1920.0,1920,37.213466654733615,37.213466654733615,16.342914102457065,0.0,37.21346669926722,4.4533604148926914e-08,0.0
32,1980.0,1980,37.21346665472518,37.21346665472518,16.870104879954454,0.0,37.213466699257914,4.453273203698392e-08,0.0
33,2040.0,2040,37.213466654716484,37.213466654716484,17.39729565745172,0.0,37.213466699248315,4.453183271442832e-08,0.0
34,2100.0,2100,37.213466654707524,37.213466654707524,17.92448643494887,0.0,37.213466699238424,4.453090618522148e-08,0.0
35,2160.0,2160,37.213466654698294,37.213466654698294,18.451677212445894,0.0,37.21346669922824,4.452995245342958e-08,0.0
36,2220.0,2220,37.21346665468879,37.21346665468879,18.978867989942792,0.0,37.21346669921776,4.452897152325015e-08,0.0
37,2280.0,2280,37.21346665467903,37.21346665467903,19.506058767439555,0.0,37.21346669920699,4.452796339899765e-08,0.0
38,2340.0,2340,37.213466654669,37.213466654669,20.03324954493618,0.0,37.213466699195926,4.4526928085091344e-08,0.0
39,2400.0,2400,37.2134666546587,37.2134666546587,20.560440322432665,0.0,37.21346669918457,4.452586558609119e-08,0.0
40,2460.0,2460,37.21346665464814,37.21346665464814,21.087631099929013,0.0,37.21346669917291,4.452477590665355e-08,0.0
41,2520.0,2520,37.2134666546373,37.2134666546373,21.614821877425207,0.0,37.21346669916096,4.452365905157036e-08,0.0
42,2580.0,2580,37.2134666546262,37.2134666546262,22.142012654921253,0.0,37.21346669914872,4.452251502574115e-08,0.0
43,2640.0,2640,37.213466654614834,37.213466654614834,22.66920343241715,0.0,37.21346669913618,4.452134383419588e-08,0.0
44,2700.0,2700,37.213466654603195,37.213466654603195,23.19639420991288,0.0,37.213466699123344,4.452014548207119e-08,0.0
45,2760.0,2760,37.21346665459129,37.21346665459129,23.72358498740845,0.0,37.213466699110214,4.451891997462576e-08,0.0
46,2820.0,2820,37.213466654579115,37.213466654579115,24.250775764903857,0.0,37.21346669909679,4.451766731723893e-08,0.0
47,2880.0,2880,37.21346665456667,37.21346665456667,24.7779665423991,0.0,37.213466699083064,4.4516387515397625e-08,0.0
48,2940.0,2940,37.21346665455396,37.21346665455396,25.30515731989416,0.0,37.213466699069045,4.451508057472528e-08,0.0
49,3000.0,3000,37.21346665454098,37.21346665454098,25.83234809738905,0.0,37.21346669905473,4.4513746500951513e-08,0.0
50,3060.0,3060,37.21346665452773,37.21346665452773,26.359538874883757,0.0,37.21346669904011,4.4512385299921954e-08,0.0
51,3120.0,3120,37.21346665451421,37.21346665451421,26.886729652378282,0.0,37.2134666990252,4.451099697760705e-08,0.0
52,3180.0,3180,37.21346665450041,37.21346665450041,27.41392042987261,0.0,37.21346669900999,4.450958154008909e-08,0.0
53,3240.0,3240,37.213466654486346,37.213466654486346,27.941111207366752,0.0,37.21346669899449,4.45081389935593e-08,0.0
54,3300.0,3300,37.21346665447201,37.21346665447201,28.468301984860698,0.0,37.21346669897868,4.4506669344357095e-08,0.0
55,3360.0,3360,37.213466654457406,37.213466654457406,28.995492762354445,0.0,37.21346669896258,4.450517259890711e-08,0.0
56,3420.0,3420,37.21346665444252,37.21346665444252,29.522683539847993,0.0,37.21346669894617,4.450364876376022e-08,0.0
57,3480.0,3480,37.21346665442737,37.21346665442737,30.04987431734133,0.0,37.213466698929466,4.4502097845591216e-08,0.0
58,3540.0,3540,37.213466654411945,37.213466654411945,30.577065094834456,0.0,37.21346669891247,4.450051985118761e-08,0.0
59,3600.0,3600,37.21346665439625,37.21346665439625,31.104255872327368,0.0,37.21346669889516,4.4498914787452444e-08,0.0
60,3660.0,3660,37.21346665438028,37.21346665438028,31.63144664982006,0.0,37.21346669887755,4.449728266140335e-08,0.0
61,3720.0,3720,37.21346665436403,37.21346665436403,32.158637427312534,0.0,37.21346669885965,4.4495623480185134e-08,0.0
62,3780.0,3780,37.213466654347506,37.213466654347506,32.68582820480478,0.0,37.213466698841444,4.4493937251044145e-08,0.0
63,3840.0,3840,37.21346665433071,37.21346665433071,33.213018982296795,0.0,37.213466698822934,4.4492223981355763e-08,0.0
64,3900.0,3900,37.21346665431364,37.21346665431364,33.74020975978858,0.0,37.213466698804126,4.449048367860113e-08,0.0
65,3960.0,3960,37.21346665429629,37.21346665429629,34.267400537280125,0.0,37.21346669878501,4.448871635039132e-08,0.0
66,4020.0,4020,37.213466654278676,37.213466654278676,34.794591314771424,0.0,37.21346669876559,4.4486922004432935e-08,0.0
67,4080.0,4080,37.21346665426077,37.21346665426077,35.321782092262474,0.0,37.213466698745876,4.448510064856858e-08,0.0
68,4140.0,4140,37.2134666542426,37.2134666542426,35.84897286975328,0.0,37.21346669872585,4.4483252290742864e-08,0.0
