,btms_size,cost_a,cost_b,cost_c,cost_total,share_cost_a,share_cost_b,share_cost_c,E_Charge,c_rate,use_rate,btms_ratio,load_factor
1008,184.87206518570173,115.02402736822496,7.126874535238006,5.06369865304,127.21460055650297,0.9041731598814123,0.05602245735993622,0.03980438275865147,552.6249999999999,3.111332724025961,2.7244898398708464,0.9114355363481298,0.9999999883018383
1013,159.10534431990743,47.55294428687835,2.9463745572811173,5.88630173626299,56.385620580422454,0.8433523263090434,0.05225400602053713,0.10439366767041953,658.4166666666666,1.7001417057274868,3.680814803312091,0.8894630654227809,0.9999999636516635
1033,177.55747716803964,87.9358335588788,5.448493391032378,3.094902992760951,96.47922994267212,0.9114483356794016,0.056473226354209795,0.032078437966388616,328.58333333333337,3.295970167048793,1.7333662597142956,0.9366638805470087,0.9999999997481602
1034,229.4743317797657,106.34503530233962,6.589125258316253,3.7126529303178537,116.64681349097374,0.9116840153594827,0.05648782903809135,0.0318281556024258,391.8055555555554,2.1020800388944436,1.6088281650177514,0.9422652713344878,0.9999999952135382
1035,255.5138909317606,146.01029797391453,9.046780036501023,3.9251245688946708,158.9822025793102,0.918406561269495,0.056904357152731774,0.0246890815777733,415.6388888888888,2.2750459405250703,1.5276056135831462,0.9390951245665881,0.9999999894554341
1039,261.9803206839486,122.01088201419049,7.559779186527382,3.298500141498232,132.8691613422161,0.9182784084859302,0.056896416822083434,0.02482517469198633,347.1666666666667,1.0854958899898905,1.2519792179169955,0.9447736447418156,0.9999999935638828
104,528.2040942481871,333.9763247865669,20.693131852130634,8.742206408420415,363.411663047118,0.9190027694385399,0.056941298137279855,0.0240559324241802,1057.6666666666667,1.0466831641791543,1.6479069812248097,0.8229730990448612,0.9999999994006777
1042,98.10137035027124,51.883020917798504,3.2146655707555682,1.4319967249588819,56.52968321351295,0.9178013738700077,0.056866859816174044,0.025331766313818206,145.75,2.9910417707008548,1.4510813595169192,0.9766934467124829,0.9999999996652239
1049,219.77504842034944,114.24986218844347,7.078907356274693,3.5759609382919324,124.9047304830101,0.9146960387059485,0.056674453632783645,0.02862950766126784,385.375,1.2862653680285503,1.6182812615365039,0.9228876876079904,0.9999999883950259
1055,191.83399226231325,108.57827764704487,6.727496678285259,3.857871914946404,119.16364624027653,0.9111694805655093,0.05645594852577958,0.03237457090871115,343.5416666666667,1.4821948049766736,1.6642590320781012,0.929323820833442,0.9999999968510167
1056,300.53511674307885,173.0432315617664,10.721737264205114,4.2515489360943315,188.01651776206583,0.9203618576786531,0.05702550707684859,0.022612635244498306,461.83333333333337,1.9274496774794039,1.407091647706834,0.9156559782283316,0.9999999979414615
1057,422.4796957910311,267.0028379238454,16.543462874448124,7.524769421996766,291.07107022029027,0.9173114927628176,0.0568365068432517,0.02585200039393067,886.0416666666666,0.6164588724648452,1.7729025628291335,0.8453500141015096,0.9999999523898446
1060,232.54721190639464,104.18829574261943,6.4554939414601336,4.765071570101463,115.40886125418103,0.902775528762484,0.05593586030835448,0.04128861092916151,523.625,2.479115688454328,2.0383274274367826,0.9052420342855245,0.9999999940322397
1080,307.8393066560236,202.4148865683443,12.541601382282431,7.622264960914981,222.5787529115417,0.9094079462687482,0.05634680407822563,0.034245249653026215,803.0,2.8062366887387777,2.2558626792099936,0.8648109627387351,0.9999999997049938
1083,430.317214774178,231.5229683298634,14.345134534635813,7.3263726968357785,253.194475561335,0.9144076616070488,0.05665658582333792,0.02893575256961325,845.7916666666665,1.3064514355646255,1.6943970053996684,0.8620659540887256,0.99999999455307
1087,463.02746559430113,291.9015120257709,18.086181647893042,7.407218118173128,317.3949117918371,0.9196792424234387,0.056983212319909,0.023337545256652187,869.5416666666667,1.2119587330157506,1.5923298299071895,0.8479092765715239,0.9999999737771176
1096,551.5860659186992,349.2926673575797,21.642130546924093,12.199314465950865,383.13411237045466,0.9116720648978563,0.05648708858896435,0.03184084651317937,1571.6250000000005,1.233227854808569,2.203517662460543,0.7733585547563692,0.9999999909582962
1100,403.1003164582456,265.0522628766546,16.422605485335914,6.148739651594533,287.62360801358506,0.9215247131735294,0.05709755745974872,0.021377729366721925,655.2916666666665,1.4153815325347836,1.4386507266524196,0.8849808301949139,0.9999999992709131
1103,241.1908077616658,147.991901358976,9.16955993759704,4.696555830736783,161.8580171273098,0.9143316097995481,0.056651873662734296,0.029016516537717724,507.79166666666674,2.393107075392815,1.9367384678494493,0.9199117396905547,0.9999999858488455
1110,437.5168746782552,219.66164674311696,13.610208513481695,7.747083094978425,241.01893835157708,0.9113874961256945,0.05646945674297315,0.032143047131332335,913.9583333333333,1.2781223812776847,1.762580516689825,0.8437569754612262,0.9999999884963788
1127,319.07451490946573,186.30726392573172,11.543575071941547,7.280989050118892,205.13182804779217,0.9082318706891519,0.05627393458050836,0.03549419473033969,851.1249999999999,1.7612874394300042,2.2712513424975325,0.851459445257598,0.9999999891238376
1155,122.89512325187816,47.47814502499427,2.9417400042492567,1.9971793357558727,52.4170643649994,0.9057764985537228,0.056121800026129535,0.03810170142014773,206.95833333333334,2.365242728294845,1.6157471919564703,0.9594561721733028,0.9999999996018986
1159,313.0012385494414,186.60148635974548,11.561805057629282,6.135967429573929,204.29925884694867,0.9133732907936708,0.05659249633544113,0.03003421287088812,651.9166666666666,1.8232704349127182,1.8486553925270786,0.8875849584743644,0.9999999991198525
116,433.4820216584988,262.71394278569136,16.277723461181324,8.981998262364177,287.97366450923687,0.9122846119745256,0.05652504193021168,0.031190346095262736,1114.5833333333333,1.9618018635311039,2.063605045995593,0.8025740745356403,0.9999999979561852
1160,229.81002678322625,146.40691047928388,9.0713540983692,5.8640344165394795,161.34229899419256,0.9074304221024749,0.05622427692502212,0.036345300972502895,670.6249999999999,1.1748849219622395,2.5392392511435844,0.8701474599281664,0.9999999958456807
1177,169.93615034902166,81.93054923247037,5.076406715561238,3.268210405565469,90.27516635359707,0.9075646442074464,0.05623259331007553,0.03620276248247805,341.08333333333337,3.440367062598893,1.9122370602817491,0.9527237857190631,0.9999999958306266
1184,485.5131676322165,318.1777158231483,19.714251991202765,9.83124095013829,347.72320876448936,0.9150315762749329,0.056695243499133526,0.02827318022593345,1180.625,1.1273784995616338,2.0159913509081555,0.8290442322486563,0.9999999517060321
1201,326.13028892377054,210.22465308877577,13.02549355171966,8.695897987828983,231.9460446283244,0.9063515328560335,0.05615742908050882,0.037491038063457764,1036.4583333333335,1.6979800301909016,2.654436839902077,0.835240767222189,0.9999999992692821
1210,194.02022166095816,69.13312386577898,4.283479819770099,2.4656828201651897,75.88228650571426,0.9110574687357762,0.05644900828663794,0.03249352297758599,255.70833333333334,3.0330928509772335,1.2635258655931736,0.9587077797623916,0.9999999947368413
1213,469.6117670576045,296.1454705039505,18.34913679125556,10.293102317888833,324.7877096130949,0.9118124292841481,0.05649578554901006,0.031691785166841895,1342.9583333333335,0.5119718827457218,2.1840397080935587,0.763724920709968,0.999999677436375
1251,396.05062572326,221.40590742027197,13.718282689697395,7.9645724373418165,243.08876254731118,0.9108027253097758,0.05643322441541276,0.032764050274811496,955.6666666666666,1.4073591843425393,2.002117390485564,0.829724288740734,0.9999999992824355
1287,307.1766258635017,127.7851810898701,7.9175540443800605,5.387333915061172,141.09006904931132,0.905699330582997,0.05611701870819027,0.038183650708812716,609.7083333333333,0.8877821645648057,1.7450956010211502,0.879195099073464,0.9999999988782603
1289,539.2736400352009,346.7474353735585,21.484428287420315,8.810392644413731,377.0422563053926,0.9196513907255631,0.05698148663214712,0.02336712264228969,1090.1666666666665,1.0226413676051305,1.6270394476892853,0.8048489394003338,0.9999999994411394
1300,501.71908952823134,286.2824176465373,17.73802325387108,10.878925749036451,314.8993666494448,0.9091235104490866,0.05632918046995492,0.03454730908095852,1375.2916666666667,1.3730319269519762,2.1598990065696135,0.7879510865324599,0.9999999916669534
1302,152.63971137486823,87.42629577164473,5.4169224926412545,2.3889496416840448,95.23216790597003,0.9180332412254583,0.05688122628889216,0.025085532485649563,247.1666666666667,1.8924574519897006,1.5560538116608194,0.9609532219649535,0.9999999998236545
1304,523.3725474330441,315.99094754958514,19.578760098944187,10.673325852132248,346.24303350066157,0.9126275967339611,0.05654629322356251,0.030826110042476432,1429.333333333333,1.0254539884507672,2.032662861902797,0.744291002873094,0.9999999977646985
1313,74.04347814592575,47.83090841815716,2.963597180538593,1.3196137941048505,52.1141193928006,0.9178109306163359,0.05686745195099669,0.02532161743266741,134.0,3.9700224295961095,1.7716436647903477,0.9789452162408352,0.9999999990681396
1316,103.05588955722835,3.8942001455006543,0.24128416024977029,1.6108256878286875,5.746309993579112,0.6776870983034342,0.04198940894580688,0.28032349275075885,164.33333333333334,2.839122708622571,1.553849857658863,0.9744424705034896,0.9999999989996629
1317,83.65757439167253,8.567670697456336,0.530851818677271,1.1687518785681765,10.267274394701783,0.8344639841200219,0.05170328543583157,0.1138327304441466,119.79166666666666,3.5214876292852733,1.3888888888925164,0.9699428915001859,0.9999999999104855
