taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor,parkingZoneId,locationX,locationY
1430,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-1430-8,604164.936225035,4123985.69178644
144,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-144-57,594146.379994803,4174558.7441677
1440,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-1440-114,584654.401561578,4198085.40382426
1442,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-1442-148,520103.86001643,4241469.93635373
1443,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-1443-103,517995.274863299,4265494.42544006
150,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-150-37,566667.005167491,4145878.3539232
157,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-157-63,569095.079573854,4179240.85063233
18,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-18-119,613630.62015628,4205742.15763424
189,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-189-84,566080.484101707,4150250.94324654
202,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-202-89,592464.364659909,4151852.51100763
203,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-203-32,588838.732992773,4201762.63528388
207,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-207-155,567798.441869316,4215734.41913208
21,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-21-138,505743.972376374,4250621.24378223
210,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-210-156,599693.490357319,4193731.17060153
216,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-216-129,534992.944057729,4271167.76128142
253,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-253-123,590451.398654019,4240014.96862924
258,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-258-118,589474.831168754,4246770.68825665
268,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-268-121,565992.541315243,4238719.26764116
270,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-270-11,573226.736785989,4175840.11681385
276,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-276-47,631218.665965521,4103224.02008514
290,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-290-9,565166.688218759,4155874.41300218
299,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-299-112,570542.638282088,4141885.53780873
301,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-301-20,596763.187063642,4147522.08174586
303,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-303-62,548551.771299239,4238303.6665484
307,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-307-28,575535.317867162,4207159.93025302
324,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-324-70,596590.093638647,4137936.96227324
327,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-327-100,566859.145715889,4181068.11657393
328,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-328-4,562064.608758738,4238279.41576808
333,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-333-90,571918.604593963,4130807.96690133
351,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-351-61,561799.035512596,4187433.90202401
359,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-359-105,524601.631867757,4247888.1116461
390,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-390-77,615549.147460838,4213275.72246571
401,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-401-45,548020.064586059,4175123.82105451
411,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-411-137,612314.75580416,4238898.87139379
42,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-42-41,599579.714460029,4160838.6080314
421,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-421-158,590054.006464049,4121390.85976306
435,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-435-151,547773.195682215,4205569.31901347
437,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-437-40,591394.54945334,4135498.48150654
446,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-446-145,635417.400934286,4146325.10963596
458,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-458-13,539796.576648229,4198959.37160661
469,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-469-127,597088.364795458,4143215.61552265
488,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-488-27,591534.841850982,4209937.20041327
500,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-500-125,569585.04593649,4223978.95288686
519,Workplace,FlatFee,DepotXFC(300.0|DC),6,0,ridehail(GlobalRHM),depot-519-1,615674.118136688,4200071.32937591
533,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-533-12,592561.63944194,4244637.51206454
546,Workplace,FlatFee,DepotXFC(300.0|DC),5,0,ridehail(GlobalRHM),depot-546-80,561586.697677734,4195055.38091619
56,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-56-36,604044.942339726,4135225.32477047
562,Workplace,FlatFee,DepotXFC(300.0|DC),4,0,ridehail(GlobalRHM),depot-562-101,574455.947560248,4142421.89325956
576,Workplace,FlatFee,DepotXFC(300.0|DC),3,0,ridehail(GlobalRHM),depot-576-115,611991.082862714,4173434.79420263
582,Workplace,FlatFee,DepotXFC(300.0|DC),2,0,ridehail(GlobalRHM),depot-582-152,521440.658882388,4261472.04733054
594,Workplace,FlatFee,DepotXFC(300.0|DC),1,0,ridehail(GlobalRHM),depot-594-154,532511.503037275,4249377.16546481
