time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
1800,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.434840671983828e-06,0.8000000278611831,120.00000414910654,0.0,9.434840671983828e-06,210.0,0,0.0,300.0,0.0,0.0
1860,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.41112677912416e-06,0.8000000287522513,120.00000428276678,0.0,9.41112677912416e-06,210.0,0,0.0,300.0,0.0,0.0
1920,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.34887550798343e-06,0.80000002964108,120.00000441609107,0.0,9.34887550798343e-06,210.0,0,0.0,300.0,0.0,0.0
1980,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.290578648757974e-06,0.8000000305240293,120.00000454853348,0.0,9.290578648757974e-06,210.0,0,0.0,300.0,0.0,0.0
2040,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.173900014235336e-06,0.8000000314014729,120.00000468015001,0.0,9.173900014235336e-06,210.0,0,0.0,300.0,0.0,0.0
2100,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,9.063495917954476e-06,0.8000000322678967,120.0000048101136,0.0,9.063495917954476e-06,210.0,0,0.0,300.0,0.0,0.0
2160,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.940453881643506e-06,0.8000000331238936,120.00000493851311,0.0,8.940453881643506e-06,210.0,0,0.0,300.0,0.0,0.0
2220,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.891947318141418e-06,0.8000000339682698,120.00000506516955,0.0,8.891947318141418e-06,210.0,0,0.0,300.0,0.0,0.0
2280,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.77854948994839e-06,0.8000000348080648,120.0000051911388,0.0,8.77854948994839e-06,210.0,0,0.0,300.0,0.0,0.0
2340,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,8.708939717145275e-06,0.80000003563715,120.00000531550158,0.0,8.708939717145275e-06,210.0,0,0.0,300.0,0.0,0.0
