,time,time_x,P_Grid,P_BTMS,E_BTMS,P_Charge,P_BTMS_Ch,P_BTMS_DCh,"param: btms size, a,b_sys,b_cap,b_loan,c,d_wait_cost"
0,60.0,60,9.46547423489166,9.46547423489166,5.229675785557017,0.0,9.465474682271108,4.4737944725026444e-07,120.09104528498221
1,120.0,120,9.46547423333851,9.46547423333851,5.363770002766247,0.0,9.465474680750859,4.47412347649674e-07,0.26301369863013696
2,180.0,180,9.465474231766464,9.465474231766464,5.49786421995339,0.0,9.465474679211544,4.4744508136259124e-07,0.04323985936321764
3,240.0,240,9.465474230180204,9.465474230180204,5.631958437118182,0.0,9.465474677657866,4.474776640546444e-07,0.023148148148148147
4,300.0,300,9.465474228583803,9.465474228583803,5.766052654260419,0.0,9.465474676093912,4.4751010953832474e-07,0.009341992564003648
5,360.0,360,9.465474226980813,9.465474226980813,5.9001468713799605,0.0,9.465474674523241,4.4754242997778664e-07,0.12
6,420.0,420,9.465474225374328,9.465474225374328,6.034241088476712,0.0,9.465474672948964,4.4757463607110033e-07,0.0
7,480.0,480,9.465474223767053,9.465474223767053,6.168335305550622,0.0,9.46547467137379,4.4760673721296737e-07,0.0
8,540.0,540,9.465474222161346,9.465474222161346,6.302429522601684,0.0,9.465474669800088,4.4763874163925904e-07,0.0
9,600.0,600,9.465474220559274,9.465474220559274,6.4365237396299175,0.0,9.46547466822993,4.476706565556056e-07,0.0
10,660.0,660,9.465474218962639,9.465474218962637,6.570617956635373,0.0,9.465474666665125,4.477024882516478e-07,0.0
11,720.0,720,9.465474217373012,9.465474217373012,6.704712173618132,0.0,9.465474665107255,4.477342422027222e-07,0.0
12,780.0,780,9.465474215791774,9.465474215791774,6.838806390578292,0.0,9.465474663557696,4.477659231600956e-07,0.0
13,840.0,840,9.46547421422012,9.46547421422012,6.97290060751597,0.0,9.465474662017652,4.477975352311043e-07,0.0
14,900.0,900,9.465474212659087,9.465474212659087,7.106994824431305,0.0,9.465474660488168,4.4782908195064065e-07,0.0
15,960.0,960,9.465474211109585,9.465474211109585,7.241089041324446,0.0,9.465474658970153,4.478605663444703e-07,0.0
16,1020.0,1020,9.465474209572395,9.465474209572395,7.375183258195556,0.0,9.465474657464386,4.4789199098563347e-07,0.0
17,1080.0,1080,9.465474208048192,9.465474208048192,7.5092774750448115,0.0,9.46547465597155,4.479233580446302e-07,0.0
18,1140.0,1140,9.465474206537554,9.465474206537554,7.643371691872394,0.0,9.46547465449222,4.479546693340921e-07,0.0
19,1200.0,1200,9.465474205040971,9.465474205040971,7.777465908678497,0.0,9.465474653026899,4.479859263485454e-07,0.0
20,1260.0,1260,9.465474203558866,9.465474203558866,7.911560125463322,0.0,9.465474651575995,4.480171302998648e-07,0.0
21,1320.0,1320,9.465474202091585,9.465474202091583,8.045654342227072,0.0,9.465474650139866,4.480482821487383e-07,0.0
22,1380.0,1380,9.465474200639417,9.465474200639417,8.179748558969957,0.0,9.4654746487188,4.4807938263298704e-07,0.0
23,1440.0,1440,9.4654741992026,9.4654741992026,8.313842775692189,0.0,9.46547464731303,4.4811043229252816e-07,0.0
24,1500.0,1500,9.46547419778132,9.46547419778132,8.447936992393993,0.0,9.46547464592275,4.4814143149189495e-07,0.0
25,1560.0,1560,9.465474196375725,9.465474196375725,8.58203120907558,0.0,9.465474644548104,4.481723804402031e-07,0.0
26,1620.0,1620,9.465474194985918,9.465474194985918,8.716125425737179,0.0,9.465474643189197,4.4820327920892564e-07,0.0
27,1680.0,1680,9.465474193611975,9.465474193611975,8.850219642379011,0.0,9.465474641846102,4.482341277480607e-07,0.0
28,1740.0,1740,9.46547419225394,9.46547419225394,8.984313859001302,0.0,9.465474640518863,4.482649259002712e-07,0.0
29,1800.0,1800,9.46547419091182,9.46547419091182,9.118408075604275,0.0,9.465474639207494,4.482956734136828e-07,0.0
30,1860.0,1860,9.465474189585613,9.465474189585613,9.252502292188161,0.0,9.465474637911985,4.483263699533481e-07,0.0
31,1920.0,1920,9.465474188275287,9.465474188275287,9.38659650875318,0.0,9.465474636632301,4.483570151114308e-07,0.0
32,1980.0,1980,9.46547418698079,9.46547418698079,9.52069072529956,0.0,9.465474635368398,4.48387608416321e-07,0.0
33,2040.0,2040,9.465474185702055,9.465474185702055,9.654784941827524,0.0,9.465474634120206,4.4841814934095416e-07,0.0
34,2100.0,2100,9.465474184439001,9.465474184439001,9.788879158337297,0.0,9.465474632887638,4.484486373100612e-07,0.0
35,2160.0,2160,9.46547418319153,9.46547418319153,9.922973374829098,0.0,9.465474631670604,4.484790717066695e-07,0.0
36,2220.0,2220,9.465474181959536,9.465474181959536,10.057067591303154,0.0,9.465474630468988,4.485094518782573e-07,0.0
37,2280.0,2280,9.4654741807429,9.4654741807429,10.191161807759679,0.0,9.465474629282676,4.485397771416619e-07,0.0
38,2340.0,2340,9.465474179541493,9.465474179541493,10.325256024198891,0.0,9.46547462811154,4.485700467882261e-07,0.0
39,2400.0,2400,9.46547417835518,9.46547417835518,10.459350240621008,0.0,9.465474626955439,4.4860026008756957e-07,0.0
40,2460.0,2460,9.465474177183818,9.465474177183818,10.593444457026242,0.0,9.465474625814233,4.4863041629189146e-07,0.0
41,2520.0,2520,9.465474176027257,9.465474176027257,10.727538673414807,0.0,9.465474624687772,4.486605146388703e-07,0.0
42,2580.0,2580,9.465474174885342,9.465474174885342,10.861632889786915,0.0,9.465474623575897,4.4869055435516306e-07,0.0
43,2640.0,2640,9.465474173757915,9.465474173757915,10.995727106142768,0.0,9.46547462247845,4.487205346587811e-07,0.0
44,2700.0,2700,9.465474172644813,9.465474172644813,11.129821322482574,0.0,9.465474621395266,4.4875045476173826e-07,0.0
45,2760.0,2760,9.465474171545868,9.465474171545868,11.263915538806538,0.0,9.465474620326182,4.487803138721817e-07,0.0
46,2820.0,2820,9.465474170460912,9.465474170460912,11.398009755114856,0.0,9.465474619271024,4.488101111962504e-07,0.0
