,time,time_x,P_Grid,P_BTMS,E_BTMS,E_BTMS_lower,E_BTMS_upper,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
0,18163.0,18163,991.6924184860746,991.6924188382523,977.1179539926006,928.2620562929706,1025.9738516922307,1.5617302850730105e-12,0.0,3.5217762252817774e-07,991.6924192839151,-4.456628460577198e-07,-9.40005487493887e-10,1880.0,10
1,18463.0,18463,1134.0506920032974,1134.0506920366117,1055.6269371468175,1002.8455902894765,1108.4082840041583,2.934970626414233e-08,0.0,3.331445429566457e-08,1134.0506924833246,-4.467128156541728e-07,-8.074821321917002e-10,0.0,10
2,18763.0,18763,1221.267291010771,1153.3359332176947,1145.405950262562,1088.135652749434,1202.6762477756902,3.2125910967759716e-08,67.9313577966827,3.6063922473420895e-09,1153.335933663352,-4.4565745247258054e-07,-7.923685379577555e-10,0.0,10
3,19063.0,19063,1316.800961742567,1180.77531290735,1236.7117116384845,1174.8761260565602,1298.5472972204088,3.242644421707598e-08,136.0256488289553,-6.2617272781512814e-09,1180.775313352055,-4.4470478706564114e-07,-7.933758469744876e-10,0.0,10
4,19363.0,19363,1936.195840091092,902.2305213469807,1330.1897572398464,1263.680269377854,1396.6992451018386,3.190463502015215e-08,1033.9653187487613,4.650381476999857e-09,902.2305217954289,-4.484482265369985e-07,-7.940289288190445e-10,0.0,10
5,19663.0,19663,1884.2917602180105,1037.1489331064734,1401.6163401759802,1331.535523167181,1471.6971571847794,3.2292169879855765e-08,847.1428271034081,-8.129333248638605e-09,1037.1489335523836,-4.459102090498235e-07,-7.955071324426935e-10,0.0,10
6,19963.0,19963,2149.952393004891,924.0216604327422,1483.723964043096,1409.5377658409411,1557.9101622452508,3.1614728057934415e-08,1225.9307325687837,-3.3648377558062118e-09,924.0216608790479,-4.4630566771295365e-07,-8.004064109818968e-10,0.0,10
7,20263.0,20263,2332.9918427756666,853.1183595001248,1556.8756788235376,1479.0318948823606,1634.7194627647145,3.133432769047693e-08,1479.873483273395,-2.146948691104545e-09,853.1183599455916,-4.454667385001417e-07,-8.026753516985754e-10,0.0,10
8,20563.0,20563,2375.98653106975,1040.4948123913161,1624.4142156134874,1543.193504832813,1705.6349263941618,3.115541779313924e-08,1335.491718671119,-7.31455700395814e-09,1040.49481283498,-4.4366397063737063e-07,-8.065645345793487e-10,0.0,10
9,20863.0,20863,2491.014026702539,1228.681630762853,1706.7867215906722,1621.4473855111385,1792.126057670206,3.0545870961623647e-08,1262.332395920027,-1.965901404349062e-08,1228.6816312055025,-4.426493425516891e-07,-8.176831455900358e-10,0.0,10
10,21163.0,21163,2693.013625797976,969.6884778123459,1804.0573506889455,1713.8544831544982,1880.8243552435542,2.8907615898668618e-08,1723.3251477611996,-2.2443057592973002e-07,969.6884782565439,-4.4419813675505315e-07,-9.032458778519473e-10,0.0,10
11,21463.0,21463,2991.380518412451,-44.44802845460882,1880.8243551786238,1786.7831374196926,1880.8243552435542,1.0205061164806142e-08,3035.82854747482,6.077601997411586e-07,1.3081897719441523e-07,-44.44802858542779,-6.701925816559858e-10,0.0,10
12,21763.0,21763,2991.380518332447,-306.8885398844329,1876.9254053130658,1783.0791350474124,1880.8243552435542,6.08517221274864e-08,3298.2690579112773,-3.056025337743861e-07,3.9733660992433054e-07,-306.88854028176945,-6.040296812909888e-10,0.0,10
13,22063.0,22063,2991.380518347135,-2737.573083810582,1850.0053579513838,1757.5050900538145,1880.8243552435542,3.538485419841219e-08,5728.953602119534,-3.8182575771224384e-08,3.826440083718998e-07,-2737.573084193226,-7.751950887635682e-10,0.0,10
14,22363.0,22363,2991.3805183486843,-2629.3052340974837,1609.8673681401656,1529.3739997331572,1690.360736547174,3.2202976990962995e-08,5620.685752462981,1.6813827503308498e-08,3.8062678257872945e-07,-2629.3052344781104,-7.857348008566847e-10,0.0,10
15,22663.0,22663,2991.3805183498757,-3242.680607173573,1379.226558128359,1310.265230221941,1448.1878860347772,3.3604140406640705e-08,6234.061125492039,-3.1408858698726406e-08,3.7811197396776786e-07,-3242.6806075516847,-8.027666723110883e-10,0.0,10
16,22963.0,22963,2991.380518350386,-4156.407185003578,1094.780890829198,1040.041846287738,1149.5199353706578,3.0986781313552537e-08,7147.787703404549,5.0583812950664203e-08,3.775772087443067e-07,-4156.407185381156,-7.840068749274864e-10,0.0,10
17,23263.0,23263,2991.380518351111,-3433.021809039175,730.1837693344265,693.6745808677051,766.6929578011479,3.520208417827678e-08,6424.402327377183,-1.3103453501000887e-08,3.7661400517801457e-07,-3433.021809415789,-7.77814794265861e-10,0.0,10
18,23563.0,23563,2991.380518345107,-1604.8486754154058,429.0415053804007,407.58943011138064,450.4935806494207,3.41101285259254e-08,4596.229193769864,9.351461928225916e-09,3.886867676137389e-07,-1604.8486758040922,-7.706114100281908e-10,0.0,10
19,23863.0,23863,2991.380518339656,-391.24403689085005,288.2653057792338,273.8520404902721,302.67857106819554,3.4889420686115915e-08,3382.6245551569264,-7.358003255858785e-08,3.847479661512014e-07,-391.24403727559803,-7.932393769813754e-10,0.0,10
20,24163.0,24163,2991.380518343644,-2123.094874038249,253.94565341709668,241.24837074624185,266.6429360879515,2.875777688106624e-08,5114.475392766676,3.8478320426335743e-07,3.766368017381266e-07,-2123.0948744148855,-6.290799058763562e-10,0.0,10
21,24463.0,24463,2991.380518328562,-771.8855742571965,67.70926095437994,64.32379790666094,71.09472400209894,6.082302441666605e-08,4252.194398968839,488.9283063830796,3.8147305343271816e-07,-771.8855746386695,0.40744025462553257,0.0,10
22,24763.0,24763,2991.3805169875614,2.2105014646424792e-06,5.136326878727504e-08,4.8795105347911284e-08,5.393143222663879e-08,40.744025592746304,2502.4522086885167,-488.92830608854337,2.720692373845023e-06,-5.101909076765521e-07,0.4074402545953746,0.0,10
23,25063.0,25063,2452.01147136007,1486.8083402275704,2.219978599116554e-07,2.1089796691607264e-07,2.3309775290723818e-07,8.536768896922814e-08,965.2031305895179,-5.429818188537501e-07,1486.8083406763774,-4.488070116653454e-07,-3.619325828340653e-10,0.0,10
24,25363.0,25363,2007.4689614516776,1789.5467673708404,117.70566048617535,111.82037746186657,123.59094351048412,4.0119201234296524e-08,217.92219401784547,-6.299182638879771e-08,1789.546767812068,-4.412275722855793e-07,-7.434130804716117e-10,0.0,10
25,25663.0,25663,1795.913855864052,1584.3887580738503,259.3781128992599,246.40920725429692,272.3470185442229,3.486989206527309e-08,211.52509775083485,-3.936698643434726e-08,1584.3887585161247,-4.422744654183163e-07,-7.826252947954873e-10,0.0,10
26,25963.0,25963,1512.7027006200656,1512.7027005915584,384.8088895763238,365.5684450975076,404.04933405514,3.158933104124697e-08,0.0,-2.850751172162626e-08,1512.7027010382956,-4.46737458393366e-07,-8.11746472143155e-10,0.0,10
27,26263.0,26263,1439.218682729358,1178.0559409699151,504.5645200360013,479.3362940342012,529.7927460378014,2.9213710759273855e-08,261.16274178121716,2.1774351999442947e-08,1178.0559414150935,-4.4517833545339055e-07,-8.185091749230313e-10,0.0,10
28,26563.0,26563,1028.6050116469771,1028.605011676833,597.8272820256454,567.9359179243631,627.7186461269278,3.102821828258479e-08,0.0,2.9855917274860156e-08,1028.605012118665,-4.418317113627445e-07,-7.993909616521532e-10,0.0,10
