,time,time_x,P_Grid,P_BTMS,E_BTMS,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
0,18163.0,18163,1108.2574657782143,929.212731113723,83.77898632213468,1.558969888287561e-14,179.04473468746508,2.2973756597069216e-08,929.2127311329078,-1.9184864241449676e-08,1.2799951498378979e-12,1547.0,10.0
1,18223.0,18223,1209.9077279758424,906.3347030687313,98.49152123140249,3.829120190398038e-10,303.5730249071223,1.1237472604317585e-11,906.3347030882741,-1.95427747547179e-08,-1.2607131452501669e-14,0.0,10.0
2,18283.0,18283,1151.1334030583723,1103.679734259149,112.84182069662397,3.830994314426527e-10,47.45366879926582,4.239824463900463e-11,1103.6797342786726,-1.9523642146934893e-08,-8.141569524943361e-15,0.0,10.0
3,18343.0,18343,1128.455509554097,1128.4555095542155,130.31674982236044,3.8380617094528266e-10,0.0,1.1855185286178996e-10,1128.4555095737546,-1.953916390863103e-08,1.0090191053636522e-14,0.0,10.0
4,18403.0,18403,1111.0214211625137,1111.021421162603,148.18396205693543,3.857821355523274e-10,0.0,8.939493704863695e-11,1111.02142118221,-1.9607036124153768e-08,2.1792393178226738e-14,0.0,10.0
5,18463.0,18463,1103.2082786001308,1062.2681901468336,165.7751345586431,3.872721482438511e-10,40.940088453344,4.685160502936134e-11,1062.2681901664982,-1.966466349530355e-08,2.664006073899852e-14,0.0,10.0
6,18523.0,18523,1069.3103151845794,1069.3103151845573,182.594380902601,3.880531046667382e-10,0.0,-2.211320040571348e-11,1069.3103152042684,-1.9710904988561452e-08,2.1352402809693622e-14,0.0,10.0
7,18583.0,18583,1103.9086381015788,935.6889292246161,199.52512755965608,3.8768463958643595e-10,168.21970887698876,2.599663615445745e-11,935.6889292443745,-1.9758516486085487e-08,2.637326797480779e-14,0.0,10.0
8,18643.0,18643,1040.3776762744112,1010.8439093704364,214.34020227234538,3.881180168917173e-10,29.533766903945747,-2.9025466424973183e-11,1010.8439093902083,-1.9771836561732412e-08,2.0839791617075755e-14,0.0,10.0
9,18703.0,18703,1031.1837237179104,981.359200670098,230.34523083734345,3.8763434532086466e-10,49.824523047804384,-8.070126219636004e-12,981.3592006898862,-1.9788135109122654e-08,2.031708759718618e-14,0.0,10.0
10,18763.0,18763,1025.939229988857,947.2654678889062,245.8834181812528,3.874999304510283e-10,78.67376209996392,1.3155219811007946e-11,947.2654679087224,-1.981619506619082e-08,2.2791489969898207e-14,0.0,10.0
11,18823.0,18823,980.3803063934417,980.3803063934303,260.8817880894599,3.87719272814315e-10,0.0,-1.1472563814990187e-11,980.3803064132558,-1.98255577668976e-08,2.050709285578066e-14,0.0,10.0
12,18883.0,18883,965.0485457542268,965.0485457542251,276.4044762739887,3.875281450461246e-10,0.0,-1.7754884421413765e-12,965.048545774069,-1.9843925936016437e-08,2.0581775704397e-14,0.0,10.0
13,18943.0,18943,949.3757171131384,949.375717113138,291.68441158172993,3.874986348521588e-10,0.0,-3.614806769736077e-13,949.37571713301,-1.9871944249660016e-08,2.0618694885939472e-14,0.0,10.0
14,19003.0,19003,934.1217464973963,934.1217464973942,306.7161937693206,3.8749269056906067e-10,0.0,-2.0719005354382693e-12,934.1217465172938,-1.9899536482380632e-08,2.032606266234069e-14,0.0,10.0
15,19063.0,19063,919.443316159383,919.44331615938,321.5064547554953,3.874582384097833e-10,0.0,-3.1560240186198756e-12,919.4433161793066,-1.9926773572397755e-08,1.9909875277019372e-14,0.0,10.0
16,19123.0,19123,905.1562479300445,905.1562479300401,336.06430726131805,3.8740571675199764e-10,0.0,-4.5247747677136086e-12,905.1562479499984,-1.9958309582878084e-08,1.9300504487844907e-14,0.0,10.0
17,19183.0,19183,908.3042253784024,873.3154725467685,350.39594785350954,3.8733038171763556e-10,34.98875283163703,3.1745355514317913e-12,873.315472566762,-1.9993571029801996e-08,2.0006375300215622e-14,0.0,10.0
18,19243.0,19243,879.2072871147654,879.2072871147616,364.22344283546585,3.8738337046047845e-10,0.0,-3.937724559925029e-12,879.2072871347758,-2.0014192873904602e-08,1.928562341968941e-14,0.0,10.0
19,19303.0,19303,866.9354111117937,866.9354111117904,378.1442248814153,3.8731781852728156e-10,0.0,-3.3599110712048224e-12,866.9354111318371,-2.0046672013447077e-08,1.8875488809942054e-14,0.0,10.0
20,19363.0,19363,891.4808506499236,819.815320451078,391.8707022239843,3.872618962170701e-10,71.66553019884763,2.137780757851119e-12,819.8153204711697,-2.0091627405750327e-08,1.9361371392968035e-14,0.0,10.0
21,19423.0,19423,844.7179958081862,844.7179958081814,404.8511114644254,3.872976065858537e-10,0.0,-4.633255091241165e-12,844.7179958282848,-2.0103226499471054e-08,1.8555365228428054e-14,0.0,10.0
22,19483.0,19483,834.1729217579012,834.172921757903,418.2258130646872,3.872204611162144e-10,0.0,1.7853375614865678e-12,834.1729217780379,-2.013486488725775e-08,1.9001537833957482e-14,0.0,10.0
23,19543.0,19543,885.4749165638865,769.6442064587584,431.4335509924862,3.872502918642041e-10,115.8307101051247,-3.371027685945317e-12,769.6442064789481,-2.0189671748939738e-08,1.8392944018263665e-14,0.0,10.0
24,19603.0,19603,814.3570976984367,814.3570976984394,443.619584261382,3.871941904477674e-10,0.0,2.7292361357730157e-12,814.3570977186372,-2.0197786440051134e-08,1.9017126155562475e-14,0.0,10.0
25,19663.0,19663,856.3187192833576,763.062459778291,456.5135716415728,3.872397519464753e-10,93.25625950506377,-3.0226525157223585e-12,763.062459798539,-2.0248045577739784e-08,1.8369194449609886e-14,0.0,10.0
26,19723.0,19723,856.8600622071345,747.6169647823913,468.5953939213611,3.871894544046755e-10,109.24309742473903,-4.344185175929216e-12,747.6169648026821,-2.0290905571069834e-08,1.7748407697773705e-14,0.0,10.0
27,19783.0,19783,841.3270106795235,748.0525142222441,480.4326625303809,3.871171317800006e-10,93.27449645727461,-4.744586938990122e-12,748.0525142425474,-2.030326567383745e-08,1.709912825356298e-14,0.0,10.0
28,19843.0,19843,782.0134591502973,782.0134591502976,492.276827338865,3.870381350033124e-10,0.0,2.9518492393983453e-13,782.0134591705887,-2.0291094017897088e-08,1.7327087267296264e-14,0.0,10.0
29,19903.0,19903,774.8899268058314,774.8899268058316,504.65870710871,3.870431289422774e-10,0.0,2.5562263886571577e-13,774.8899268261464,-2.0314733678880196e-08,1.7334888760721493e-14,0.0,10.0
