,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio,grid_peak_to_charge_peak_ratio
1008,84.285088835333,8.781542935221024,23.633996805405317,12.186058002776909,4.917977132247015,35.82005480818223,9.448050903286394,54.04964864668965,0.16247178575801646,0.4372645779789508,0.22546044808606286,0.09098999263426708,0.6627250260650137,0.17480318817696983,552.6249999999999,6.484883087824947,5.311781174808417,0.8101405984032156,0.4927813037642699,10.231527046427779,0.08903508809321317
1013,75.75878600449072,13.87030891317199,9.323477384827926,12.31902840595197,4.9716405402113955,21.642505790779897,9.541379734670869,45.05419443862276,0.30785832675507013,0.20693916517649164,0.2734268930883707,0.11034800648770342,0.48036605826486234,0.21177561498006744,658.4166666666666,2.846168726030598,5.975155532737412,0.6875137770128374,0.36465048466973266,2.5554412524177588,0.281259041850432
1033,102.5142433923811,3.8984746060449553,24.918451197943792,8.037243665854376,3.2436232082566607,32.95569486379817,6.234312128966858,43.088481598809985,0.09047602657116197,0.5783088721936303,0.18652882087347325,0.07527819704712553,0.7648376930671036,0.14468628036173445,328.58333333333337,5.621504489616351,2.8801492896949923,0.8985736503885954,0.6690364920477586,24.29967409133974,0.03952620086684469
1035,141.32850053693207,5.638278470910831,24.460808878455776,10.058025814859961,4.059158502426259,34.51883469331574,7.798730151133763,47.95584331536033,0.1175722931996669,0.5100694135978407,0.2097351463244597,0.08464366846252715,0.7198045599223004,0.16262314687803264,415.6388888888888,4.0027345545031325,2.614598583243824,0.8890344651426934,0.5842674148538429,16.492952413605824,0.05716587894117926
104,47.916709717196376,49.31502705168697,12.971968709830621,2.315360054762784,0.9344193011100695,15.287328764593406,1.7927487966509437,66.39510461293132,0.7427509503777816,0.19537537873393396,0.03487245133900787,0.014073617423415868,0.2302478300729418,0.02700121954927656,1057.6666666666667,6.260869201429628,1.7756640963557848,0.0804449868203542,0.1490767395868834,1.0000016806829994,0.499999579829604
1049,130.80544528605904,5.431226399642354,11.543314559533862,8.947323619471621,3.6109078871401947,20.490638179005483,6.938077279628178,32.85994185827602,0.1652841147153296,0.351288344006202,0.2722866540075199,0.10988783555107726,0.6235749980137218,0.21114088727094849,385.375,2.0408939308499914,2.5129463760377537,0.8529537974637866,0.5592978534631887,8.079913976169443,0.11013320199274776
1056,115.85543854626307,7.983436094672349,23.843932806286688,10.114379242538268,4.081901285086778,33.95831204882496,7.847440378565634,49.78918852206294,0.160344772261847,0.4788977991822621,0.20314408695486796,0.08198368774935902,0.6820418861371301,0.15761334160102286,461.83333333333337,4.7596738142814745,3.2069780361777536,0.8045020139796617,0.45264529199136383,11.35434665182844,0.08094317151542799
1060,148.87861309360022,6.832294032317649,24.14673206666005,11.869463353384862,4.790207738276706,36.01619542004491,9.205204649221635,52.05369410158419,0.13125473898133422,0.46388123808344994,0.2280234584354625,0.0920243571748911,0.6919046965189124,0.17684056449975344,523.625,3.7509543269252372,2.928901398675495,0.8327539329151846,0.6022488591348168,13.43587417634076,0.06927187004988727
1080,113.41668039463984,24.65753430022696,32.42989450830055,9.758533362906622,3.938291112032131,42.18842787120717,7.888235543515413,74.73419771494953,0.32993642875883267,0.4339364775413037,0.13057654542740296,0.05269730902917462,0.5645130229687066,0.10555054827246084,803.0,6.612783913829531,3.1373986951783692,0.4431299440617748,0.241483056096096,4.999999986944774,0.16666666702931185
1083,126.0000001160006,24.65753425338777,19.45793671165793,10.593790427289266,4.275379212322279,30.051727138947193,8.218209562112568,62.927470954447536,0.39184054085436026,0.3092121201842563,0.16834921643296274,0.0679413799327352,0.47756133661721906,0.1305981225284206,845.7916666666665,3.5714285678120263,3.0886243366376473,0.46012118836351656,0.25414225047903816,2.999999998895176,0.2500000000690704
1087,83.9666680581212,24.65753437212169,19.457936680447762,9.867094745594999,3.982103672040043,29.325031426042763,7.651019098162221,61.63358489632668,0.4000665288835286,0.31570347097573165,0.16009282540018324,0.06460931452775796,0.4757962963759149,0.12413717474055637,869.5416666666667,5.359269453508914,4.317189295567849,0.41688629127416127,0.25943020275173284,2.9999999796372716,0.2500000012729005
1096,46.0416773619461,49.31506861120754,19.457936682393953,6.104427589919928,2.463588740989318,25.562364272313882,4.74035114768365,79.61778403120508,0.6193976535679414,0.24439183932534078,0.07667165902943723,0.030942694160185982,0.321063498354778,0.059538848077280514,1571.6250000000005,9.773753370109628,4.869682394307267,0.14266020561765327,0.2239232692666803,1.4999999940151731,0.4000000009575723
1100,114.01667235931409,24.657533605520484,19.457936882072584,7.609386906980618,3.0709513109508237,27.0673237890532,5.917059268243017,57.641916662816705,0.4277708832924082,0.33756575090821694,0.1320113443050938,0.05327635666445169,0.4695770952133107,0.10265202149428104,655.2916666666665,3.946791241912523,2.450665164701934,0.42640048906396133,0.19585837726767624,3.000000103993347,0.24999999350041605
1103,142.0417724245258,8.041696967072514,23.828607722052144,11.455653417556224,4.623204774640877,35.28426113960837,8.874374573410542,52.20033268009143,0.15405451563605685,0.4564838287159056,0.2194555633919412,0.08856657682574715,0.6759393921078468,0.1700060922560963,507.79166666666674,3.8797014946885473,2.9634318060696176,0.8289444940215155,0.4958309587378079,11.264841287871443,0.081533872027263
1110,67.75000952970466,24.65753469647697,19.457936595104687,10.819928191329414,4.366642552118749,30.2778647864341,8.395507569699731,63.3309070526108,0.3893444108734026,0.3072423481782824,0.1708475165584,0.0689496291043369,0.4780898647366824,0.13256572438991507,913.9583333333333,6.642065445995226,5.86654286167055,0.43487577090633306,0.27350128657721584,2.9999999270159607,0.2500000045615026
1127,65.50000628102525,24.65753455532177,19.457936632234603,9.739817567058989,3.93073790196457,29.19775419929359,7.56121323667528,61.41650199129064,0.40148060791248597,0.3168193563839552,0.15858632861311728,0.06400133147475544,0.4754056849970725,0.12311370709044162,851.1249999999999,6.8702283201483585,5.461831668479683,0.4203260491600199,0.2541028766808592,2.999999949914485,0.25000000313034576
1159,67.50063246084123,19.725680968497482,20.755223619824648,9.701938212687878,3.915450776420038,30.457161832512526,7.604231369512174,57.78707417052219,0.34135109367692756,0.3591672345026271,0.1678911478379873,0.06775651532150682,0.5270583823406144,0.1315905239824579,651.9166666666666,7.111075703181042,5.270397077369086,0.5457064594792522,0.24853989697107462,4.0000878116105065,0.19999648759726613
116,138.4980852159872,30.371867391175662,30.926782173123378,10.118492006933588,4.083561090188797,41.045274180056964,7.815298464508837,79.23244003574148,0.3833261651095816,0.390329796219483,0.12770642936616836,0.051539004583813365,0.5180362255856513,0.09863760930476688,1114.5833333333333,5.164243286022839,2.6858953819843254,0.3337492642948411,0.26622749772193416,3.871126413598014,0.20529132588479848
1160,40.37500150328772,24.657534224470503,6.485978910506709,6.58888491873726,2.659103161167704,13.07486382924397,5.10677914542105,42.83917719913553,0.5755837491894704,0.15140297584047888,0.15380512300946386,0.062071760827875175,0.30520809884994277,0.11920815196058672,670.6249999999999,3.7151701437609375,5.995871866189992,0.36098167472274595,0.19824363961580468,1.0000000018252573,0.499999999551763
1184,109.91666685999382,49.31506844377462,12.971957821979196,4.566669563762399,1.8429894622193752,17.538627385741595,3.493614858241742,70.34731068775795,0.7010227962041564,0.1843987736724755,0.06491605036661485,0.0261984352237661,0.24931482403909036,0.04966237975675325,1180.625,2.7293404073387237,1.5299469389544313,0.1424386812091236,0.16813599143339114,1.0000000020044713,0.4999999994993816
1201,56.16804958073859,44.382993326410144,14.269303081501075,5.2845471037148615,2.1327062290717436,19.553850185215936,4.0940825772907825,68.03092608891686,0.6523943723535571,0.20974730026239838,0.07767860012383081,0.03134906948472645,0.28742590038622917,0.06017972726021384,1036.4583333333335,5.875287814477771,3.45703796943509,0.1873448008712934,0.16532922503307115,1.2222506774384305,0.4499942378927695
1251,76.00000074639382,24.657534380200307,19.457936678299326,10.634008843124198,4.2916103224422475,30.091945521423526,8.216701648262905,62.966181549886734,0.3915996456076137,0.3090220210174763,0.16888444846697753,0.0681573857077882,0.47790646948445387,0.13049388490793254,955.6666666666666,5.921052562732738,5.143640321687641,0.4090512748037413,0.28468079912498667,2.9999999783231304,0.2500000013548087
1287,55.78333436466627,24.65753410409804,6.485978942482608,5.889561872543877,2.3768745070411064,12.375540815026485,4.531487927224567,41.56456284634909,0.5932345347946776,0.1560458837606256,0.14169671155488162,0.0571851198297851,0.29774259531550723,0.10902286988981527,609.7083333333333,2.6889751677129854,3.884075342000296,0.35536118116644516,0.17997796705159597,1.000000011637033,0.49999999711087695
1289,81.50002202415988,24.657535972513422,19.457936259452904,12.016606026868281,4.849590707174789,31.474542286321185,9.324086805817855,65.45616506465247,0.3767030339794371,0.2972666706067164,0.18358249394841908,0.0740891358726064,0.4808491645551355,0.14244780146542732,1090.1666666666665,5.521470771715197,5.416153836719722,0.4049074976109727,0.3246330252403058,2.9999997200145105,0.25000001749909445
1300,57.5000020794681,49.31506848019028,19.457936716857063,4.203191849081537,1.696299278365455,23.6611285659386,3.219346302665201,76.19554334879408,0.6472172296802812,0.25536843575989826,0.05516322430881464,0.022262447432134517,0.3105316600687129,0.04225111025100595,1375.2916666666667,7.826086674865129,2.6913042857095313,0.11252158780242696,0.19487415606542008,1.5000000006570209,0.3999999998948767
1304,42.00000180222846,49.315068430679524,12.97195782542461,2.826160044278353,1.1405649363119645,15.798117869702963,2.1908133328593555,67.30399963324184,0.732721215669366,0.19273680458980752,0.041990967248289594,0.016946465923677927,0.23472777183809712,0.03255101249253692,1429.333333333333,7.142856845418854,2.47222218294019,0.0726445915151566,0.20119390033925397,1.0000000025356155,0.4999999993666119
