,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio
1008,183.6605317176694,17.569573682331573,24.788529569140096,13.614058461801594,5.494281101973837,38.402588030941686,10.58629185990398,66.55845357317725,0.2639720837716703,0.3724324745899709,0.20454289021053815,0.08254820848463955,0.576975364800509,0.15905255142782054,552.6249999999999,3.1214088368901414,2.7219142950417714,0.9046066079480608,0.9999999989325101,21.45475929458435
1013,157.73974003426653,20.858578539286377,11.600284769316431,15.801346676743133,6.377013928312315,27.401631446059564,12.287127176053367,60.547337161399305,0.3445003449727981,0.19159033762944658,0.2609750885430673,0.10532278093937131,0.4525654261725139,0.2029342288546881,658.4166666666666,1.700760877060949,3.678372043989348,0.8812435640575017,0.9999999782801063,8.457033406703722
1033,176.50625013289834,10.489620031828327,25.25411170686225,8.336715252926439,3.364482178125548,33.590826959788686,6.482629780678059,50.56307677229507,0.20745612611881017,0.49945757495318577,0.164877530900065,0.06654029764203435,0.6643351058532507,0.1282087680279392,328.58333333333337,3.3089311894727347,1.7343532246418836,0.9316485440145242,0.9999999993218995,36.610566135679186
1034,228.34343244859156,12.519263244101568,20.79665517630044,10.004663902262493,4.037623017708599,30.801319078562933,7.7796266504316485,51.100208973096144,0.244994364909405,0.40697788901900017,0.19578518568348457,0.07901382594803821,0.6027630747024848,0.15224256038811035,391.8055555555554,2.1063022571193146,1.6088540605323471,0.9376366753398919,0.9999999951389825,25.260900253263163
1035,254.10554830624804,13.274101991250268,25.071002448972624,10.575519465158168,4.268005525612072,35.646521914130794,8.223523936203891,57.14414784158495,0.23229153802500901,0.4387326331031215,0.18506741048052078,0.0746884096940922,0.6238000435836423,0.14390841839134866,415.6388888888888,2.2817774232023322,1.5282353232672523,0.9343039959468591,0.9999999875172708,28.72107252260578
1039,260.7138754726691,11.09752214223536,12.242177878611693,8.890678947224833,3.588047565721254,21.132856825836527,6.91339194936791,39.1437709174398,0.2835067210474364,0.31274906815780007,0.22712883145511542,0.09166330891545924,0.5398778996129155,0.17661537933964797,347.1666666666667,1.0859510944585553,1.252199294533794,0.9403717645954326,0.9999999985498168,16.775163810917583
104,520.0639798984386,33.14629916577074,23.764194452990104,23.35386769476887,9.42501564051502,47.11806214775898,18.15996751968159,98.4243288332113,0.336769369511679,0.24144634497087225,0.23727738834108847,0.09575900341150957,0.4787237333119607,0.18450689717636026,1057.6666666666667,1.0567738290078283,1.6489394668661204,0.8107980035455442,0.9999999804721581,10.902401109140905
1042,97.87495926110915,4.683284729944489,12.66398210407874,3.8690099138349447,1.5614321117084209,16.532992017913685,3.0085421089997055,24.22481885685788,0.1933258926565176,0.5227689081560936,0.15971264580744862,0.06445588389885484,0.6824815539635422,0.12419255337994026,145.75,2.9923639987633446,1.451546392545551,0.9747515885832299,0.9999999991656199,41.12006857312042
1049,218.18978949774475,12.275016717042522,12.164745106886743,9.622217621010304,3.883277612075163,21.78696272789705,7.48223642213366,41.54421586707323,0.29546873038398963,0.2928144111760255,0.2316138942614296,0.09347336400572046,0.5244283054374551,0.18010296417855534,385.375,1.289390058442097,1.619360061974169,0.9168415985551706,0.999999994614804,15.07006153510992
1055,190.67364642781968,11.106279751373691,12.241601973410553,8.771225843754559,3.5398393895326232,21.01282781716511,7.386723615196267,39.50583118373507,0.28113013746553583,0.309868229742513,0.2220235742658101,0.08960295944842718,0.531891804008323,0.18697805852614113,343.5416666666667,1.4847841055331297,1.664419453181751,0.9237916594015151,0.999999998692166,16.76114760284645
