,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio,grid_peak_to_charge_peak_ratio
1013,104.99979548838,14.794587834024938,9.080352767179628,11.947528304783257,4.821712729121144,21.027881071962884,9.246104317309097,45.068573223296916,0.32826838694723304,0.20147859401250798,0.265096661604706,0.1069861409907846,0.46657525561721397,0.20515635743555305,658.4166666666666,1.9999999971391653,4.181744844487059,0.6668761221957656,0.34072929861320184,2.3333181732673074,0.30000136441217234
104,150.0000453869582,49.31505363961229,12.97196171607688,2.31510130806802,0.9343148776510964,15.2870630241449,1.791455986358452,66.39357265011564,0.742768489044796,0.195379781480313,0.03486935881984033,0.014072369362841767,0.2302491403001533,0.026982370655050623,1057.6666666666667,1.9999999972340687,0.5672236725177409,0.080444604433235,0.14907516186453845,1.0000006023936874,0.49999984940162456
1049,133.71974782580517,5.352412169852747,11.564046050467592,8.969468611630363,3.619845031949916,20.533514662097957,6.95506693999092,32.840993771941626,0.1629796043025254,0.3521222935813706,0.2731180631718158,0.11022337073863472,0.6252403567531865,0.2117800389442881,385.375,1.99999997757223,2.4642744113240878,0.8550688364731535,0.5677148122993206,8.213615643068103,0.10853502455534737
1080,374.9999991287369,24.657534621714134,32.42989442373576,9.758533276799325,3.9382910772814586,42.18842770053509,7.888235473072086,74.73419779532131,0.32993643270574863,0.4339364759430925,0.13057654413479572,0.05269730850751184,0.5645130200778882,0.10555054721636317,803.0,1.9999999985611518,0.948888914068079,0.44312994016039564,0.2414830527844414,4.999999908716228,0.16666666920232703
1083,225.00000222178105,24.657534440302637,19.457936662490624,10.5916438011227,4.2745128896446545,30.049580463613324,8.207080746880397,62.91419565079636,0.39192322472282176,0.30927736516717796,0.16835061930873835,0.06794194609703395,0.4776279844759163,0.13044879080126193,845.7916666666665,1.9999999750131479,1.7296296391480295,0.46012119531149126,0.25411646950424444,2.9999999685733147,0.25000000196417954
1087,224.9999975951416,24.657535445195236,19.457936398231116,9.864558991305168,3.98108030733855,29.322495389536286,7.637870365280098,61.61790120001162,0.4001683758289155,0.31578382287106277,0.16009242118268233,0.0646091513960524,0.4758762440537451,0.1239553801173393,869.5416666666667,1.999999988976701,1.611111255947605,0.4168863236920408,0.25939973342996303,2.999999805568195,0.2500000121526739
1096,225.00000024568007,49.3150684996356,19.457936711742114,6.101387917676066,2.462362008063754,25.559324629418178,4.724594733001408,79.59898786205518,0.6195439141148186,0.2444495493518418,0.07665157662870982,0.030934589423813028,0.32110112598055157,0.059354959904629905,1571.6250000000005,1.9999999976408445,0.9964814889945743,0.14266019900968413,0.22390502050912653,1.499999999671251,0.4000000000525999
1100,225.00000077386352,24.657533998736483,19.457936778640065,7.60938649941253,3.070951146466908,27.067323278052594,5.917058945137034,57.64191622192612,0.42777089338603785,0.33756575169578695,0.13201133824413064,0.05327635421840408,0.4695770899399176,0.10265201667404447,655.2916666666665,1.9999999998220412,1.2418518723146201,0.4264004663040327,0.19585837339585443,3.0000000402049705,0.24999999748718935
1110,224.9999980624542,24.6575353267034,19.45793642932837,10.816856017323268,4.365402702324412,30.274792446651638,8.379581272237543,63.311909045592586,0.3894612514202795,0.3073345397832846,0.17085025835398143,0.06895073562196284,0.47818479813726605,0.1323539504424544,913.9583333333333,1.999999988019168,1.766481508603076,0.4348757722504345,0.2734643875395735,2.9999998247792354,0.25000001095129837
1127,224.99999944898508,24.65753444281427,19.45793666183095,9.736282501087308,3.9293112409716753,29.19421916291826,7.542888273862435,61.394641879594964,0.40162355684347456,0.3169321632332538,0.15858521530562497,0.06400088217270986,0.47551737853887877,0.12285906461764669,851.1249999999999,1.9999999995924178,1.5900000117373305,0.42032604113941624,0.2540604294671812,2.9999999681660245,0.2500000019896447
1159,237.49999837549333,20.547945741678042,20.538933056485355,9.370460969085379,3.7816751532016117,29.909394025570734,7.336470443159187,57.79381021040796,0.3555388659593447,0.35538292044961145,0.1621360650036857,0.06543391306843753,0.5175189854532971,0.1269421485873582,651.9166666666666,1.9999999999458469,1.4470175264092027,0.5271634823032024,0.23784980739486378,3.7999998747440125,0.20833333876979127
116,357.49999938417903,30.410959123510803,30.91649938698883,10.105158712975499,4.078180118362758,41.02165809996433,7.815142379187766,79.2477596026629,0.3837453484614211,0.3901245857548504,0.1275134939289305,0.05146114084246897,0.5176380796837808,0.09861657185479804,1114.5833333333333,1.999999999711757,1.0389277497821108,0.33323364776730713,0.2658849827354954,3.864864829767092,0.20555555703854525
1160,75.00000010003872,24.657534233581796,6.48597890791965,6.588070805397297,2.6587746061265185,13.074049713316947,5.1025589816894525,42.8341429285882,0.5756513974072062,0.15142077007897367,0.15380419345335639,0.062071385683125445,0.3052249635323301,0.11912363906046367,670.6249999999999,1.9999999983921286,3.227777781637987,0.36098167223970445,0.19823386385634803,1.0000000010568744,0.49999999973651976
1184,150.0000013289268,49.31506823323028,12.971957877336523,4.572759495608757,1.8454472008540106,17.54471737294528,3.5251844912276216,70.38497009740318,0.7006477116490205,0.18430011207485214,0.06496784028295648,0.026219336291542977,0.24926795235780858,0.05008433599317081,1180.625,1.9999999928223675,1.1211111419568482,0.14243868525857226,0.16817255647037402,1.000000010541304,0.4999999973646959
