time,VehicleId,ChargingStationId,QueueOrBay,ChargingPower,ChargingDesire,VehicleDesiredEnd,VehicleEnergy,VehicleDesiredEnergy,VehicleSoc,EnergyLag,TimeLag
18463,5270466,chargingStation-1,Queue,0,inf,18163,70.4392375763248,70.4392375763248,0.8390227824982781,0.0,0
18463,3256681,chargingStation-1,Queue,0,inf,18406,46.80339477999824,46.80339477999824,0.8362338066790386,0.0,0
18463,1545605,chargingStation-1,Queue,0,0.4034682080924855,18982,32.12307931765771,46.66474598432438,0.3826275854038041,7.083333333333332,0
18763,5270466,chargingStation-1,Bay,0,inf,18163,70.4392375763248,70.4392375763248,0.8390227824982781,0.0,0
18763,3256681,chargingStation-1,Bay,0,inf,18406,46.80339477999824,46.80339477999824,0.8362338066790386,0.0,0
18763,1545605,chargingStation-1,Bay,174.49999999999997,0.4034682080924855,18982,46.66474598432438,46.66474598432438,0.5558377172654515,9.125,-219
19063,4346132,chargingStation-1,Queue,0,inf,18980,75.30806927415388,75.30806927415388,0.8970168900324772,0.0,0
19063,645747,chargingStation-3,Queue,0,0.6312267657992565,19870,31.770511582714573,67.14551158271458,0.37842804588336876,-1.7500000000000036,0
19063,3629343,chargingStation-1,Queue,0,inf,19055,12.28776259405236,12.28776259405236,0.8781792464322682,0.0,0
19063,2940186,chargingStation-1,Queue,0,0.5064066852367688,19422,32.129617799830676,44.754617799830676,0.5740582008247226,2.333333333333332,0
19363,4346132,chargingStation-1,Bay,0,inf,18980,75.30806927415388,75.30806927415388,0.8970168900324772,0.0,0
19363,3629343,chargingStation-1,Bay,0,inf,19055,12.28776259405236,12.28776259405236,0.8781792464322682,0.0,0
19363,2940186,chargingStation-1,Bay,151.5,0.5064066852367688,19422,44.754617799830676,44.754617799830676,0.7996284155270685,2.4583333333333357,-59
19363,645747,chargingStation-3,Bay,250.0,0.6312267657992565,19870,52.603844916047905,67.14551158271458,0.6265800972610871,6.583333333333329,-507
19363,3903138,chargingStation-1,Queue,0,1.2535046728971966,20219,22.436047049527364,67.1443803828607,0.2672424528070666,-9.041666666666668,0
19363,2594333,chargingStation-1,Queue,0,inf,19217,42.28262956668975,44.78262956668975,0.7554615310525123,-2.5,0
19363,213587,chargingStation-3,Queue,0,0.7326460481099655,20236,22.736216833171706,67.15288349983837,0.2708178646905682,-8.041666666666664,0
19363,1506474,chargingStation-1,Queue,0,79.2,19364,39.28741116660468,44.78741116660468,0.7019461205505237,-5.458333333333336,0
19363,1027506,chargingStation-1,Queue,0,1.205533596837945,19616,54.46485807993118,67.17319141326452,0.6487471805054986,-2.1666666666666643,0
19363,7032990,chargingStation-1,Queue,0,0.6398230088495576,20041,18.50252355253107,48.62752355253107,0.22038908041080643,-1.875,0
19363,62315,chargingStation-1,Queue,0,0.6256809338521402,19877,44.822462464257804,67.15579579759114,0.5338937283987051,-0.9166666666666643,0
19363,3378004,chargingStation-3,Queue,0,0.6034482758620687,19537,37.49218453929741,44.783851205964076,0.6698709002922213,-0.0416666666666643,0
19663,3903138,chargingStation-1,Bay,150.0,1.2535046728971966,20219,34.93604704952736,67.1443803828607,0.41613368363369757,-9.041666666666671,-556
19663,2594333,chargingStation-1,Bay,30.0,inf,19217,44.78262956668975,44.78262956668975,0.8001289003005017,0.0,0
19663,1506474,chargingStation-1,Bay,66.0,79.2,19364,44.78741116660468,44.78741116660468,0.8002143328961001,0.0,0
19663,1027506,chargingStation-1,Bay,150.0,1.205533596837945,19616,66.96485807993119,67.17319141326452,0.7976384113321298,-0.2083333333333286,0
19663,7032990,chargingStation-1,Bay,250.0,0.6398230088495576,20041,39.3358568858644,48.62752355253107,0.4685411317885248,6.458333333333329,-378
19663,62315,chargingStation-1,Bay,250.0,0.6256809338521402,19877,65.65579579759114,67.15579579759114,0.7820457797764234,7.416666666666671,-214
19663,645747,chargingStation-3,Bay,174.50000000000006,0.6312267657992565,19870,67.14551158271458,67.14551158271458,0.7997902291227346,8.625,-207
19663,213587,chargingStation-3,Bay,250.0,0.7326460481099655,20236,43.56955016650504,67.15288349983837,0.5189699160682866,0.2916666666666714,-573
19663,3378004,chargingStation-3,Bay,87.49999999999997,0.6034482758620687,19537,44.783851205964076,44.783851205964076,0.8001507272655234,0.0,0
19663,6882278,chargingStation-1,Queue,0,2.8880000000000012,19738,52.11397752207458,67.15564418874125,0.6207451405226453,-11.916666666666671,0
19663,6770352,chargingStation-1,Queue,0,inf,19406,52.760457812678226,52.760457812678226,0.9426683403247441,0.0,0
19663,1336229,chargingStation-1,Queue,0,0.9818181818181818,19949,16.25843882553758,35.75843882553758,0.2904886761664531,-7.583333333333332,0
19663,405329,chargingStation-1,Queue,0,1.2626582278481013,20295,11.51283076263723,44.76283076263723,0.20569914510573098,-6.916666666666666,0
19663,2921283,chargingStation-1,Queue,0,inf,19540,70.02702335894575,70.02702335894575,0.834112775923094,0.0,0
19663,2619613,chargingStation-1,Queue,0,0.5852112676056339,20231,44.068996129867706,67.15232946320104,0.5249189660056033,0.5833333333333357,0
19963,3903138,chargingStation-1,Bay,150.0,1.2535046728971966,20219,47.43604704952736,67.1443803828607,0.5650249144603285,-9.041666666666686,-256
19963,6882278,chargingStation-1,Bay,180.50000000000006,2.8880000000000012,19738,67.15564418874125,67.15564418874125,0.799910921617358,0.0,0
19963,6770352,chargingStation-1,Bay,0,inf,19406,52.760457812678226,52.760457812678226,0.9426683403247441,0.0,0
19963,1027506,chargingStation-1,Bay,2.499999999999943,1.205533596837945,19616,67.17319141326452,67.17319141326452,0.8001199318459069,0.0,0
