time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
19363,chargingStation-2,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,[],[],0,2576.056079074446,0.7322404501442938,2745.901688041102,0,2576.056079074446,-2576.056079074446,0,3049.1797435067783,0.0,0
19363,chargingStation-3,"[645747, 213587, 3378004]","[174.50000000000006, 250.0, 87.49999999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",512.0,"[0.6312267657992565, 0.7326460481099655, 0.6034482758620687, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",3,[],[],0,2084.2723304907277,0.7181008145550014,2692.878054581255,250.0,2596.2723304907277,-2596.2723304907277,250.0,3685.4633450249385,8.916666666666671,-780
19663,chargingStation-1,"[3903138, 6882278, 6770352, 1027506, 7032990, 62315, 1336229, 405329, 2921283, 2619613]","[150.0, 180.50000000000006, 0, 2.499999999999943, 111.50000000000006, 18.0, 234.0, 150.0, 0, 250.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1096.5,"[1.2535046728971966, 2.8880000000000012, inf, 1.205533596837945, 0.6398230088495576, 0.6256809338521402, 0.9818181818181818, 1.2626582278481013, inf, 0.5852112676056339, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10,[],[],0,1339.8174899323667,0.739407449480903,2772.777935553386,327.0,2436.3174899323667,-2436.3174899323667,327.0,2726.6647733593654,-3.7916666666666785,-934
19663,chargingStation-2,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,[],[],0,2810.6172516627344,0.7946986112923545,2980.1197923463296,0,2810.6172516627344,-2810.6172516627344,0,238.56249184404442,0.0,0
19663,chargingStation-3,[213587],"[0, 250.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",250.0,"[nan, 0.7326460481099655, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,[],[],0,2267.7715178435897,0.7684957371737479,2881.8590144015543,33.0,2517.7715178435897,-2517.7715178435897,33.0,1417.6918271813483,8.625,-273
19963,chargingStation-1,"[3903138, 1856277, 1968169, 4366115, 3174094, 5852787, 405329, 2619613]","[150.0, 150.0, 250.0, 67.49999999999991, 0, 250.0, 0, 150.0, 0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1044.5,"[1.2535046728971966, 1.278745644599303, 0.8859154929577465, inf, inf, 0.6142144638403992, nan, 1.2626582278481013, nan, 0.5852112676056339, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",8,[],[],0,1476.1014539155553,0.7722097040123598,2895.786390046349,560.5000000000002,2520.6014539155553,-2520.6014539155553,560.5000000000002,1250.5633194438124,-16.70833333333335,-1221
19963,chargingStation-2,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,[],[],0,238.56249184404442,0.8,3000.0,0,2871.545470178026,-2871.545470178026,0,0.0,0.0,0
19963,chargingStation-3,"[2302294, 213587, 3835185]","[57.0, 33.0, 19.000000000000007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",109.0,"[inf, 0.7326460481099655, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",3,[],[],0,1417.6918271813483,0.8,3000.0,0,2783.986812587815,-2783.986812587815,0,0.0,0.0,0
20263,chargingStation-1,"[3903138, 1856277, 1968169, 7120897, 1638187, 5852787, 2460922, 405329, 5807186, 2089510, 1574604, 4700079, 6506887, 1109671]","[86.50000000000011, 150.0, 64.5, 0, 150.0, 160.50000000000017, 250.0, 99.0, 0, 150.0, 0, 0, 150.0, 250.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1510.5000000000002,"[1.2535046728971966, 1.278745644599303, 0.8859154929577465, inf, 1.2583892617449663, 0.6142144638403992, 0.8556621880998081, 1.2626582278481013, inf, 0.8104667609618105, inf, inf, 1.0454545454545456, 0.6094405594405593, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",14,[],[],0,980.6052372265738,0.7940009315062836,2977.5034931485634,713.0,2491.105237226574,-2491.105237226574,713.0,269.9580822172393,-5.369272623138613,-2163
20263,chargingStation-2,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,[],[],0,0.0,0.8,3000.0,0,2552.6973450894297,-2552.6973450894297,0,0.0,0.0,0
